IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OK_20161108_GEN_PRE_REP_TRUMP,USA_OK_20161108_GEN_PRE_DEM_CLINTON,USA_OK_20161108_GEN_PRE_LIB_JOHNSON,USA_OK_20161108_GEN_USS_REP_LANKFORD,USA_OK_20161108_GEN_USS_DEM_WORKMAN,USA_OK_20161108_GEN_USS_LIB_MURPHY,USA_OK_20161108_GEN_USS_IND_BEARD,USA_OK_20161108_GEN_USS_IND_BRADDY
0,_Adair,_010001,_010001,250,78,27,249,79,11,6,4
0,_Adair,_010002,_010002,226,62,11,215,63,9,4,1
0,_Adair,_010003,_010003,96,32,2,93,39,1,1,0
0,_Adair,_010004,_010004,198,71,18,198,74,6,4,5
0,_Adair,_010005,_010005,175,45,13,188,35,2,2,3
0,_Adair,_010006,_010006,345,92,21,321,109,7,6,13
0,_Adair,_010007,_010007,362,155,16,358,157,3,8,5
0,_Adair,_010008,_010008,256,88,25,252,91,9,6,9
0,_Adair,_010010,_010010,74,26,9,70,31,2,5,3
0,_Adair,_010011,_010011,128,41,22,135,46,3,7,3
0,_Adair,_010012,_010012,320,62,10,290,85,7,3,4
0,_Adair,_010013,_010013,211,82,15,218,81,3,2,5
0,_Adair,_010014,_010014,356,133,51,339,169,11,8,8
0,_Adair,_010016,_010016,284,51,28,291,49,16,3,6
0,_Adair,_010017,_010017,486,125,16,441,137,9,16,9
0,_Adair,_010018,_010018,432,127,25,385,151,16,18,9
0,_Adair,_010019,_010019,588,112,35,533,156,10,11,16
0,_Alfalfa,_020110,_020110,175,15,4,180,13,1,2,2
0,_Alfalfa,_020120,_020120,187,15,7,189,10,4,0,3
0,_Alfalfa,_020140,_020140,346,31,20,339,36,8,6,8
0,_Alfalfa,_020220,_020220,358,63,30,392,39,6,5,11
0,_Alfalfa,_020230,_020230,251,29,16,249,27,9,4,8
0,_Alfalfa,_020310,_020310,273,36,16,291,19,7,3,6
0,_Alfalfa,_020320,_020320,155,17,11,155,16,3,3,6
0,_Alfalfa,_020330,_020330,188,10,5,187,9,2,2,2
0,_Atoka,_030001,_030001,449,103,17,390,135,13,14,10
