IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OK_20201103_GEN_PRE_REP_TRUMP,USA_OK_20201103_GEN_PRE_DEM_BIDEN,USA_OK_20201103_GEN_PRE_LIB_JORGENSEN,USA_OK_20201103_GEN_PRE_IND_WEST,USA_OK_20201103_GEN_PRE_IND_SIMMONS,USA_OK_20201103_GEN_PRE_IND_PIERCE,USA_OK_20201103_GEN_USS_REP_INHOFE,USA_OK_20201103_GEN_USS_DEM_BROYLES,USA_OK_20201103_GEN_USS_LIB_MURPHY,USA_OK_20201103_GEN_USS_IND_FARR,USA_OK_20201103_GEN_USS_IND_NESBIT,USA_OK_20201103_GEN_COC_REP_HIETT,USA_OK_20201103_GEN_COC_LIB_HAGOPIAN
0,_Adair,_010001,_010001,278,65,5,2,3,0,257,74,8,8,2,284,48
0,_Adair,_010002,_010002,245,56,1,4,1,0,232,66,4,3,1,248,39
0,_Adair,_010003,_010003,113,23,0,0,2,0,106,31,0,2,1,111,25
0,_Adair,_010004,_010004,195,85,2,2,0,0,175,91,7,7,3,214,58
0,_Adair,_010005,_010005,171,46,2,1,0,1,156,53,3,4,3,169,34
0,_Adair,_010006,_010006,425,112,4,2,2,3,391,138,10,8,1,430,97
0,_Adair,_010007,_010007,434,136,3,6,2,1,391,163,10,10,4,449,96
0,_Adair,_010008,_010008,308,81,4,2,1,1,283,94,8,6,6,314,60
0,_Adair,_010010,_010010,118,26,1,0,0,1,115,26,3,3,0,116,25
0,_Adair,_010011,_010011,185,35,3,1,1,0,160,40,5,7,3,165,32
0,_Adair,_010012,_010012,378,50,2,0,1,2,353,61,6,8,2,362,44
0,_Adair,_010013,_010013,249,91,3,1,0,3,233,99,4,8,2,259,63
0,_Adair,_010014,_010014,386,156,4,6,4,0,356,177,10,8,5,405,119
0,_Adair,_010016,_010016,357,71,2,1,1,1,347,74,4,4,3,367,47
0,_Adair,_010017,_010017,561,115,10,1,2,1,513,124,24,10,12,556,99
0,_Adair,_010018,_010018,505,135,5,0,1,0,449,167,17,8,5,504,109
0,_Adair,_010019,_010019,677,104,11,8,1,1,617,137,15,20,10,671,98
0,_Alfalfa,_020110,_020110,170,14,3,0,1,0,166,12,4,5,0,173,11
0,_Alfalfa,_020120,_020120,175,16,5,1,0,0,172,15,3,3,3,174,15
0,_Alfalfa,_020140,_020140,334,46,3,2,1,3,306,54,9,15,4,338,36
0,_Alfalfa,_020220,_020220,429,64,9,2,2,1,416,73,13,4,1,448,47
0,_Alfalfa,_020230,_020230,243,36,5,1,0,1,238,34,8,5,1,251,27
0,_Alfalfa,_020310,_020310,284,32,2,3,1,1,276,39,3,3,2,301,16
0,_Alfalfa,_020320,_020320,156,16,3,0,0,0,147,22,3,2,1,158,13
0,_Alfalfa,_020330,_020330,187,8,1,0,1,0,178,13,3,1,1,182,14
0,_Atoka,_030001,_030001,433,119,4,0,0,1,426,111,12,5,2,438,79
0,_Atoka,_030002,_030002,350,62,6,1,0,0,342,61,7,2,4,348,48
0,_Atoka,_030003,_030003,259,95,5,0,1,1,255,94,4,3,2,263,64
0,_Atoka,_030006,_030006,256,50,1,0,0,0,249,51,3,1,1,253,30
0,_Atoka,_030007,_030007,394,75,5,0,0,1,380,80,2,7,0,389,50
0,_Atoka,_030008,_030008,693,88,4,5,0,0,662,96,10,12,5,670,79
0,_Atoka,_030009,_030009,433,62,3,0,1,1,412,67,12,2,1,414,49
0,_Atoka,_030010,_030010,138,11,0,0,0,0,129,13,1,3,2,138,8
0,_Atoka,_030011,_030011,743,116,10,2,1,0,707,123,17,10,5,724,100
0,_Atoka,_030012,_030012,329,32,1,0,1,1,310,37,4,5,5,313,30
0,_Atoka,_030013,_030013,296,34,6,0,0,0,289,38,6,2,1,289,26
0,_Atoka,_030014,_030014,117,5,3,0,0,1,110,8,2,0,3,110,8
0,_Atoka,_030015,_030015,82,14,0,0,0,0,77,18,0,1,0,82,10
0,_Atoka,_030016,_030016,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Atoka,_030017,_030017,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Atoka,_030018,_030018,0,0,0,0,0,0,0,0,0,0,0,0,0
0,_Atoka,_030019,_030019,34,2,1,0,0,0,32,1,3,1,0,33,4
0,_Beaver,_040011,_040011,180,11,0,0,0,0,171,17,0,2,1,182,4
0,_Beaver,_040013,_040013,119,2,1,0,0,0,112,4,3,1,0,111,7
0,_Beaver,_040023,_040023,711,89,6,1,0,0,689,89,14,7,3,689,83
0,_Beaver,_040025,_040025,172,23,0,0,1,0,165,21,1,4,4,167,20
0,_Beaver,_040026,_040026,48,3,0,0,0,0,44,3,2,0,1,47,3
0,_Beaver,_040031,_040031,246,10,2,0,0,1,234,11,6,3,3,239,10
0,_Beaver,_040033,_040033,492,52,6,1,0,1,474,50,17,5,3,478,52
0,_Beckham,_050111,_050111,693,125,14,1,1,0,643,148,27,9,6,698,93
0,_Beckham,_050112,_050112,324,37,1,2,0,0,302,47,3,6,3,314,39
0,_Beckham,_050115,_050115,162,13,2,1,0,0,161,14,2,1,0,165,10
0,_Beckham,_050141,_050141,662,104,7,1,1,3,627,122,19,8,3,655,94
0,_Beckham,_050231,_050231,374,39,4,0,1,0,355,43,10,7,1,368,39
0,_Beckham,_050232,_050232,102,17,1,0,0,0,101,17,2,0,0,104,13
0,_Beckham,_050235,_050235,1634,243,25,3,3,2,1547,278,47,20,15,1627,232
0,_Beckham,_050242,_050242,291,34,3,0,0,0,279,43,3,3,0,291,29
0,_Beckham,_050320,_050320,453,69,6,1,1,1,428,75,10,9,5,457,56
0,_Beckham,_050330,_050330,399,33,2,0,0,0,381,39,9,2,2,390,31
0,_Beckham,_050332,_050332,826,152,16,3,0,1,783,175,19,15,2,853,117
0,_Beckham,_050333,_050333,701,160,19,4,1,1,671,169,26,8,9,724,120
0,_Beckham,_050343,_050343,146,22,0,1,0,0,139,26,1,1,1,142,17
0,_Blaine,_060002,_060002,591,75,7,3,1,1,566,89,10,10,3,612,48
0,_Blaine,_060007,_060007,548,92,7,3,2,0,541,90,7,9,4,558,70
0,_Blaine,_060010,_060010,258,70,2,1,2,2,235,81,5,9,2,271,51
0,_Blaine,_060011,_060011,150,116,1,2,1,1,143,109,7,7,4,168,84
0,_Blaine,_060012,_060012,781,167,16,2,2,1,739,186,20,16,5,814,117
0,_Blaine,_060016,_060016,129,25,1,0,0,0,126,26,1,1,1,133,17
0,_Blaine,_060017,_060017,371,118,8,7,0,1,339,137,11,6,4,363,108
0,_Blaine,_060020,_060020,259,21,1,0,0,1,253,26,3,1,0,256,20
0,_Blaine,_060022,_060022,49,4,1,0,0,0,45,7,1,0,1,48,5
0,_Bryan,_070003,_070003,519,280,23,2,3,2,489,280,37,12,9,540,220
0,_Bryan,_070004,_070004,619,217,13,1,2,0,598,216,22,7,7,652,153
0,_Bryan,_070005,_070005,616,290,23,0,1,3,600,291,21,14,1,634,220
0,_Bryan,_070008,_070008,645,286,18,1,6,2,629,279,23,16,5,686,198
0,_Bryan,_070010,_070010,430,104,7,3,0,0,420,96,14,9,3,425,80
0,_Bryan,_070011,_070011,187,30,3,0,0,0,178,30,8,0,2,183,21
0,_Bryan,_070013,_070013,497,76,3,0,2,2,488,71,11,3,3,488,66
0,_Bryan,_070014,_070014,309,45,9,2,0,0,298,52,6,5,1,311,33
0,_Bryan,_070015,_070015,519,106,4,1,0,1,497,114,10,3,6,512,77
0,_Bryan,_070017,_070017,394,93,7,2,1,1,373,89,12,9,5,380,78
0,_Bryan,_070018,_070018,787,170,18,1,1,0,748,176,17,17,13,775,144
0,_Bryan,_070019,_070019,700,162,11,1,2,0,674,166,18,10,7,703,132
0,_Bryan,_070020,_070020,485,126,6,1,1,2,473,126,8,9,5,484,85
0,_Bryan,_070021,_070021,626,118,7,0,1,1,602,125,14,4,5,629,91
0,_Bryan,_070022,_070022,770,209,5,4,1,0,752,207,12,14,2,772,148
0,_Bryan,_070023,_070023,313,64,3,4,0,0,311,67,5,0,0,314,33
0,_Bryan,_070025,_070025,806,190,9,1,0,0,783,189,22,4,5,798,142
0,_Bryan,_070026,_070026,457,117,16,1,0,0,454,104,19,7,6,461,100
0,_Bryan,_070027,_070027,718,204,16,4,0,1,679,211,27,12,4,726,154
0,_Bryan,_070028,_070028,592,92,5,2,2,2,566,103,11,11,4,586,75
0,_Bryan,_070029,_070029,149,42,1,1,0,0,142,43,2,3,1,148,26
0,_Bryan,_070033,_070033,1206,302,23,3,2,2,1174,300,39,16,7,1224,230
0,_Caddo,_080012,_080012,109,193,4,1,3,1,108,174,9,10,7,128,124
0,_Caddo,_080022,_080022,193,201,5,3,0,1,180,196,10,10,5,213,149
0,_Caddo,_080031,_080031,116,168,6,1,2,0,122,146,11,7,7,144,123
0,_Caddo,_080041,_080041,428,265,4,5,2,1,424,253,10,15,4,469,188
0,_Caddo,_080051,_080051,543,459,15,10,6,4,534,452,22,19,7,625,333
0,_Caddo,_080102,_080102,656,220,7,7,0,2,629,229,10,16,5,666,175
0,_Caddo,_080509,_080509,351,72,4,1,1,0,332,72,13,7,3,353,56
0,_Caddo,_080510,_080510,593,101,6,2,1,0,564,115,8,12,7,610,78
0,_Caddo,_080511,_080511,651,277,11,4,0,1,619,277,21,18,7,662,218
0,_Caddo,_080712,_080712,384,130,9,2,0,0,365,140,7,4,4,404,82
0,_Caddo,_080715,_080715,89,32,0,0,0,0,83,31,2,4,1,94,20
0,_Caddo,_080810,_080810,191,44,1,1,1,1,191,39,4,2,0,193,31
0,_Caddo,_080811,_080811,268,78,3,1,0,2,266,75,2,5,5,286,45
0,_Caddo,_080812,_080812,201,53,5,0,1,0,198,57,3,2,0,218,28
0,_Caddo,_081009,_081009,239,48,2,1,0,1,228,53,4,2,3,236,41
0,_Caddo,_081010,_081010,358,75,2,0,0,2,349,73,7,5,1,371,42
0,_Caddo,_081011,_081011,277,50,1,1,0,0,267,54,6,1,2,274,39
0,_Caddo,_081013,_081013,264,56,2,0,0,0,246,66,6,2,1,272,34
0,_Caddo,_081111,_081111,818,110,6,2,0,3,787,120,22,7,4,829,85
0,_Caddo,_081213,_081213,284,38,4,0,1,0,269,43,9,3,2,287,33
0,_Canadian,_090100,_090100,669,177,7,7,2,1,628,189,26,11,5,672,154
0,_Canadian,_090102,_090102,148,51,3,0,0,1,151,48,0,4,2,153,43
0,_Canadian,_090106,_090106,719,325,18,5,0,2,656,356,23,25,6,784,225
0,_Canadian,_090107,_090107,287,98,4,0,0,1,286,90,8,3,3,302,69
0,_Canadian,_090109,_090109,113,39,2,1,0,0,107,45,2,1,0,117,33
0,_Canadian,_090114,_090114,571,167,11,2,2,1,552,179,9,8,2,579,131
0,_Canadian,_090116,_090116,640,396,24,10,3,2,610,409,26,15,10,669,325
0,_Canadian,_090124,_090124,912,380,22,5,0,3,851,401,29,16,15,974,256
0,_Canadian,_090200,_090200,3109,1678,82,21,9,10,3004,1714,105,51,34,3495,1119
0,_Canadian,_090201,_090201,984,210,21,1,2,3,939,225,23,19,7,1005,158
0,_Canadian,_090202,_090202,494,92,7,1,3,0,476,98,11,8,5,508,74
0,_Canadian,_090204,_090204,959,402,31,6,7,6,908,426,33,22,13,1019,306
0,_Canadian,_090206,_090206,1139,520,34,7,6,3,1083,555,35,23,6,1242,354
0,_Canadian,_090208,_090208,961,406,30,7,6,6,895,433,36,26,19,995,345
0,_Canadian,_090209,_090209,28,24,0,0,0,0,29,23,0,1,0,33,17
0,_Canadian,_090210,_090210,586,206,13,5,2,0,586,200,18,6,5,642,137
0,_Canadian,_090211,_090211,859,322,21,5,5,4,822,334,26,20,10,919,218
0,_Canadian,_090214,_090214,845,348,31,4,2,3,808,347,42,13,14,904,266
0,_Canadian,_090215,_090215,1299,597,41,5,6,5,1226,622,60,28,10,1374,463
0,_Canadian,_090216,_090216,1342,530,35,5,4,4,1300,536,43,26,7,1461,350
0,_Canadian,_090217,_090217,1467,692,46,13,6,2,1423,699,50,37,11,1595,496
0,_Canadian,_090218,_090218,901,337,39,9,1,3,847,360,39,29,8,940,283
0,_Canadian,_090220,_090220,1721,698,38,9,9,2,1625,732,75,25,12,1852,493
0,_Canadian,_090221,_090221,955,446,38,3,4,1,919,458,40,18,9,1027,321
0,_Canadian,_090223,_090223,1274,613,48,8,5,2,1230,628,40,25,21,1370,452
0,_Canadian,_090224,_090224,1081,441,31,5,0,3,1011,481,36,16,11,1144,340
0,_Canadian,_090225,_090225,908,432,26,0,3,2,860,449,34,20,6,994,317
0,_Canadian,_090226,_090226,359,76,5,1,0,1,344,88,4,3,2,364,55
