IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_OR_20201103_GEN_PRE_DEM_BIDEN,USA_OR_20201103_GEN_PRE_REP_TRUMP,USA_OR_20201103_GEN_PRE_LIB_JORGENSEN,USA_OR_20201103_GEN_PRE_GRE_HAWKINS,USA_OR_20201103_GEN_PRE_PRO_HUNTER,USA_OR_20201103_GEN_PRE_OTH_WRITEIN,USA_OR_20201103_GEN_USS_DEM_MERKLEY,USA_OR_20201103_GEN_USS_REP_PERKINS,USA_OR_20201103_GEN_USS_LIB_DYE,USA_OR_20201103_GEN_USS_GRE_TAHER,USA_OR_20201103_GEN_USS_OTH_WRITEIN,USA_OR_20201103_GEN_ATG_DEM_ROSENBLUM,USA_OR_20201103_GEN_ATG_REP_CROSS,USA_OR_20201103_GEN_ATG_LIB_HEDBOR,USA_OR_20201103_GEN_ATG_OTH_WRITEIN,USA_OR_20201103_GEN_SOS_DEM_FAGAN,USA_OR_20201103_GEN_SOS_REP_THATCHER,USA_OR_20201103_GEN_SOS_LIB_MARKLEY,USA_OR_20201103_GEN_SOS_GRE_PARAVICINI,USA_OR_20201103_GEN_SOS_OTH_WRITEIN,USA_OR_20201103_GEN_TRE_DEM_READ,USA_OR_20201103_GEN_TRE_REB_GUDMAN,USA_OR_20201103_GEN_TRE_IND_HENRY,USA_OR_20201103_GEN_TRE_CON_MARSH,USA_OR_20201103_GEN_TRE_OTH_WRITEIN
0,_Baker,_Baker City 1,_01,252,667,16,2,2,6,279,622,15,12,0,250,599,34,4,223,641,22,26,2,221,612,32,37,1
0,_Baker,_Baker City 2,_02,311,618,13,2,1,6,324,582,19,13,1,297,565,37,5,269,611,25,24,0,265,566,46,42,0
0,_Baker,_Baker City 3,_03,263,750,22,3,4,3,305,686,28,10,0,271,668,42,9,232,740,30,26,0,250,654,40,57,2
0,_Baker,_Baker City 4,_04,275,937,17,7,1,9,324,865,16,8,1,275,863,25,1,242,920,28,16,0,257,852,39,39,4
0,_Baker,_Baker City 5,_05,313,940,22,6,4,5,363,877,14,8,1,304,861,39,4,281,916,27,18,1,276,848,37,65,1
0,_Baker,_Baker,_13,133,627,12,1,1,1,150,594,20,2,3,124,586,29,3,100,629,21,6,1,114,591,9,36,1
0,_Baker,_Durkee,_14,5,83,0,1,0,0,8,76,0,0,0,9,70,2,0,6,76,1,1,0,6,72,1,3,0
0,_Baker,_Eagle Valley,_15,82,353,5,0,0,1,92,332,10,1,1,81,318,16,6,76,343,13,3,0,79,328,6,19,0
0,_Baker,_Haines,_17,129,504,7,3,0,2,148,464,11,2,0,113,481,13,3,105,493,20,7,0,120,467,11,23,0
0,_Baker,_Hereford,_18,5,76,0,0,0,0,3,75,1,0,0,4,65,9,0,4,73,1,0,0,3,72,1,2,0
0,_Baker,_Huntington,_19,53,224,9,1,1,0,68,195,14,5,0,64,189,15,0,60,201,12,7,0,64,183,14,10,0
