IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_RI_20161108_GEN_PRE_DEM_CLINTON,USA_RI_20161108_GEN_PRE_REP_TRUMP,USA_RI_20161108_GEN_PRE_LIB_JOHNSON,USA_RI_20161108_GEN_PRE_GRE_STEIN,USA_RI_20161108_GEN_PRE_DEL_FUENTE,USA_RI_20161108_GEN_PRE_OTH_WRITEIN
0,_001,_Barrington 1,_440101,1037,526,61,23,2,37
0,_001,_Barrington 2,_440102,1344,689,70,21,3,39
0,_001,_Barrington 3,_440103,1146,473,60,17,0,49
0,_001,_Barrington 4,_440104,1341,616,81,25,2,61
0,_001,_Barrington 5,_440105,1303,595,71,24,4,60
0,_001,_Bristol 1,_440201,517,487,44,12,2,25
0,_001,_Bristol 2,_440202,386,191,39,10,1,18
0,_001,_Bristol 3,_440203,1198,833,83,26,0,53
0,_001,_Bristol 4,_440204,798,514,41,17,1,28
0,_001,_Bristol 5,_440205,832,751,82,19,3,35
0,_001,_Bristol 6,_440206,723,493,40,15,3,26
0,_001,_Bristol 7,_440207,556,299,41,11,1,19
0,_001,_Bristol 8,_440208,643,411,48,18,1,30
0,_001,_Bristol 9,_440209,134,103,12,6,1,5
0,_001,_Warren 1,_443401,664,449,43,24,3,35
0,_001,_Warren 2,_443402,848,795,62,18,4,40
0,_001,_Warren 3,_443403,1180,745,71,32,3,47
0,_003,_Coventry 1,_440601,379,548,46,7,4,12
0,_003,_Coventry 2,_440602,119,132,21,4,2,10
0,_003,_Coventry 3,_440603,654,830,61,21,4,38
0,_003,_Coventry 4,_440604,399,533,37,16,2,25
0,_003,_Coventry 5,_440605,402,605,43,17,2,19
0,_003,_Coventry 6,_440606,221,343,18,7,1,18
0,_003,_Coventry 7,_440607,633,715,53,21,3,20
0,_003,_Coventry 8,_440608,559,684,40,23,2,33
0,_003,_Coventry 9,_440609,388,616,44,15,3,18
0,_003,_Coventry 10,_440610,271,334,25,16,1,14
0,_003,_Coventry 11,_440611,430,518,32,10,0,16
0,_003,_Coventry 12,_440612,471,523,42,7,0,24
0,_003,_Coventry 13,_440613,387,457,39,6,3,18
0,_003,_Coventry 14,_440614,229,216,6,2,1,9
0,_003,_Coventry 15,_440615,460,639,38,8,2,29
0,_003,_Coventry 16,_440616,525,711,47,7,6,26
0,_003,_Coventry 17,_440617,334,515,52,22,0,22
0,_003,_Coventry 18,_440618,186,280,25,6,2,10
0,_003,_East Greenwich 1,_440901,239,157,15,4,2,7
0,_003,_East Greenwich 2,_440902,968,801,63,10,2,53
0,_003,_East Greenwich 3,_440903,928,565,61,15,0,39
0,_003,_East Greenwich 4,_440904,917,746,86,18,1,55
0,_003,_East Greenwich 5,_440905,976,853,58,12,3,44
0,_003,_Warwick 1,_443501,1059,741,78,24,3,42
0,_003,_Warwick 2,_443502,938,722,57,29,1,43
0,_003,_Warwick 3,_443503,487,379,33,9,2,19
0,_003,_Warwick 4,_443504,867,494,55,17,2,36
0,_003,_Warwick 5,_443505,321,317,23,9,0,11
0,_003,_Warwick 6,_443506,295,298,34,15,0,14
0,_003,_Warwick 7,_443507,172,129,12,5,0,11
0,_003,_Warwick 8,_443508,734,628,54,29,3,49
0,_003,_Warwick 9,_443509,181,148,9,6,0,6
0,_003,_Warwick 10,_443510,547,445,33,17,0,26
0,_003,_Warwick 11,_443511,829,725,41,19,3,30
0,_003,_Warwick 12,_443512,522,507,37,25,0,28
0,_003,_Warwick 13,_443513,730,722,67,22,5,37
0,_003,_Warwick 14,_443514,919,903,54,36,4,57
0,_003,_Warwick 15,_443515,869,894,65,26,5,34
0,_003,_Warwick 16,_443516,239,256,21,10,1,11
0,_003,_Warwick 17,_443517,260,314,30,8,2,11
0,_003,_Warwick 18,_443518,883,939,84,25,5,47
0,_003,_Warwick 19,_443519,864,941,78,29,4,51
0,_003,_Warwick 20,_443520,680,660,46,22,4,30
0,_003,_Warwick 21,_443521,621,636,55,22,3,26
0,_003,_Warwick 22,_443522,484,525,46,16,0,18
0,_003,_Warwick 23,_443523,847,814,73,21,1,46
0,_003,_Warwick 24,_443524,560,569,47,20,0,31
0,_003,_Warwick 25,_443525,642,659,37,21,2,38
0,_003,_Warwick 26,_443526,248,182,13,2,1,13
0,_003,_Warwick 27,_443527,617,571,57,25,2,34
0,_003,_Warwick 28,_443528,376,272,28,8,0,17
0,_003,_Warwick 29,_443529,621,585,35,14,2,35
0,_003,_Warwick 30,_443530,877,785,50,15,1,38
0,_003,_Warwick 31,_443531,1068,891,58,15,2,50
0,_003,_Warwick 32,_443532,357,334,33,8,2,8
0,_003,_Warwick 33,_443533,368,358,23,12,1,9
0,_003,_West Greenwich 1,_443701,383,600,49,20,2,27
0,_003,_West Greenwich 2,_443702,329,481,35,8,2,15
0,_003,_West Greenwich 3,_443703,227,444,36,5,2,13
