IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_SC_20161108_GEN_PRE_REP_TRUMP,USA_SC_20161108_GEN_PRE_DEM_CLINTON,USA_SC_20161108_GEN_PRE_LIB_JOHNSON,USA_SC_20161108_GEN_PRE_GRE_STEIN,USA_SC_20161108_GEN_PRE_IND_MCMULLIN,USA_SC_20161108_GEN_PRE_CON_CASTLE,USA_SC_20161108_GEN_PRE_AME_SKEWES,USA_SC_20161108_GEN_USS_REP_SCOTT,USA_SC_20161108_GEN_USS_DEM_DIXON,USA_SC_20161108_GEN_USS_LIB_BLEDSOE,USA_SC_20161108_GEN_USS_AME_SCARBOROUGH,USA_SC_20161108_GEN_USS_OTH_WRITEIN
0,_001,_Abbeville No. 1,_001,778,375,27,1,5,3,3,811,335,17,2,2
0,_001,_Abbeville No. 2,_002,387,571,9,0,2,2,1,401,519,7,5,0
0,_001,_Abbeville No. 3,_003,362,328,7,3,4,4,2,368,304,13,4,0
0,_001,_Abbeville No. 4,_004,356,201,6,1,2,3,0,342,184,19,5,0
0,_001,_Antreville,_005,633,161,9,1,4,2,0,618,157,14,9,0
0,_001,_Broadmouth,_006,274,95,4,1,3,0,0,257,104,2,2,2
0,_001,_Calhoun Falls,_007,519,788,8,3,4,4,3,507,748,10,8,0
0,_001,_Cold Springs,_008,505,135,8,4,1,1,0,499,134,10,1,0
0,_001,_Donald's,_009,324,67,3,2,3,3,0,301,78,6,3,0
0,_001,_Due West,_010,663,357,17,9,13,10,2,690,348,19,5,0
0,_001,_Hall's Store,_011,325,208,3,1,5,0,0,334,175,4,5,0
0,_001,_Keowee,_012,627,167,5,5,7,2,0,573,199,12,6,2
0,_001,_Lowndesville,_013,616,124,10,3,1,3,0,591,128,15,1,0
0,_001,_Lebanon,_014,394,164,13,2,2,1,1,377,157,19,2,0
0,_003,_Srs,_000,0,0,0,0,0,0,0,0,0,0,0,0
0,_003,_Aiken No. 1,_001,507,218,35,13,18,1,1,579,177,17,3,0
0,_003,_Aiken No. 2,_002,157,535,13,5,2,2,0,172,504,9,8,1
0,_003,_Aiken No. 3,_003,136,745,12,5,7,2,1,143,714,18,8,1
0,_003,_Aiken No. 4,_004,46,339,4,5,2,1,0,61,321,3,1,0
0,_003,_Aiken No. 5,_005,276,365,15,9,5,1,7,320,329,14,1,0
0,_003,_Aiken No. 6,_006,555,259,32,8,8,4,1,628,191,18,3,3
0,_003,_Bath,_007,311,261,9,0,4,0,4,278,268,11,2,1
0,_003,_Beech Island,_008,532,611,10,7,7,2,1,514,585,22,13,0
0,_003,_Belvedere No. 9,_009,575,525,32,10,11,3,3,554,530,33,10,3
0,_003,_Carolina Heights,_010,217,516,15,1,11,2,3,234,490,15,7,1
0,_003,_China Springs,_011,270,619,9,1,1,1,3,256,603,15,5,1
0,_003,_Clearwater,_012,222,196,4,0,1,1,0,223,186,5,0,1
0,_003,_College Acres,_013,759,317,48,10,15,2,4,796,291,28,7,0
0,_003,_Eureka,_014,761,231,28,7,8,4,0,731,251,25,6,1
0,_003,_Gloverville,_015,558,148,17,3,7,5,3,548,153,21,7,1
0,_003,_Graniteville,_016,441,278,8,7,5,2,4,443,255,15,16,0
0,_003,_Jackson,_017,865,210,14,1,4,2,1,816,224,21,5,0
0,_003,_Langley,_018,588,190,16,6,6,4,3,553,190,24,13,1
0,_003,_Lynwood,_019,462,157,6,6,4,2,3,439,160,10,8,0
0,_003,_Millbrook,_020,737,323,46,10,13,1,2,806,282,28,5,0
0,_003,_Monetta,_021,424,406,10,3,6,2,1,427,377,19,6,1
0,_003,_Montmorenci No. 22,_022,727,363,31,6,11,5,1,748,343,26,6,4
0,_003,_New Ellenton,_023,563,524,19,7,5,1,1,562,499,40,3,3
0,_003,_New Holland,_024,435,118,10,2,4,6,1,439,105,11,6,1
0,_003,_N. Augusta No. 25,_025,503,351,32,7,8,1,1,539,321,22,5,1
0,_003,_N. Augusta No. 26,_026,377,317,16,6,6,2,3,389,296,22,5,1
0,_003,_N. Augusta No. 27,_027,926,176,36,6,11,2,0,985,130,23,0,3
0,_003,_N. Augusta No. 28,_028,624,196,32,8,11,1,0,679,156,18,8,1
0,_003,_N. Augusta No. 29,_029,543,251,31,12,12,1,1,575,225,26,3,1
0,_003,_Oak Grove,_030,534,146,16,5,6,2,1,514,161,17,3,0
0,_003,_Perry,_031,433,194,12,2,11,1,3,413,196,15,6,0
0,_003,_Salley,_032,215,293,6,0,4,2,0,217,274,7,1,1
0,_003,_Shaws Fork,_033,348,117,21,2,1,4,1,346,118,14,3,0
0,_003,_Shiloh,_034,877,302,17,9,6,6,3,869,283,27,6,4
0,_003,_Six Points No. 35,_035,469,314,26,8,10,1,1,496,283,22,5,0
0,_003,_Tabernacle,_036,258,227,10,2,2,4,1,261,212,7,6,0
0,_003,_Talatha,_037,674,404,20,5,5,2,0,677,375,32,5,0
0,_003,_Vaucluse,_038,643,353,26,10,11,4,0,669,341,13,5,0
0,_003,_Wagener,_039,757,595,13,7,8,6,1,723,548,31,8,2
0,_003,_Ward,_040,607,396,17,5,12,0,1,604,364,25,9,3
0,_003,_Warrenville,_041,890,254,23,7,7,1,4,834,266,30,10,0
0,_003,_White Pond,_042,309,257,6,0,2,1,0,285,255,9,8,0
0,_003,_Windsor No. 43,_043,455,238,12,3,9,1,1,425,238,21,9,0
0,_003,_Belvedere No. 44,_044,621,342,27,3,10,8,1,606,329,36,6,0
0,_003,_Misty Lakes,_045,752,414,26,6,7,5,0,754,397,21,7,1
0,_003,_Six Points No. 46,_046,62,652,8,3,1,1,0,72,620,2,5,0
0,_003,_Aiken No. 47,_047,426,242,28,3,18,2,4,496,203,17,5,0
0,_003,_Hammond No. 48,_048,476,220,9,2,7,0,3,474,208,9,7,0
0,_003,_Willow Springs,_049,678,180,7,8,2,9,1,628,198,23,5,0
0,_003,_Breezy Hill,_050,1038,519,38,13,18,1,2,1053,495,36,11,0
0,_003,_Midland Valley No. 51,_051,944,392,24,8,12,7,0,966,358,23,8,1
