IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_SC_20201103_GEN_PRE_REP_TRUMP,USA_SC_20201103_GEN_PRE_DEM_BIDEN,USA_SC_20201103_GEN_PRE_LIB_JORGENSEN,USA_SC_20201103_GEN_PRE_GRE_HAWKINS,USA_SC_20201103_GEN_PRE_ALL_FUENTE,USA_SC_20201103_GEN_USS_REP_GRAHAM,USA_SC_20201103_GEN_USS_DEM_HARRISON,USA_SC_20201103_GEN_USS_CON_BLEDSOE,USA_SC_20201103_GEN_USS_OTH_WRITEIN
0,_001,_Abbeville No. 1,_001,867,419,8,1,1,852,422,22,1
0,_001,_Abbeville No. 2,_002,375,723,3,1,1,354,742,10,0
0,_001,_Abbeville No. 3,_003,483,443,11,2,0,466,451,24,1
0,_001,_Abbeville No. 4,_004,446,208,3,0,0,429,215,13,0
0,_001,_Antreville,_005,764,182,7,0,0,745,188,17,2
0,_001,_Broadmouth,_006,304,85,0,1,0,298,88,5,0
0,_001,_Calhoun Falls,_007,525,663,6,3,2,503,682,8,0
0,_001,_Cold Springs,_008,623,145,7,4,0,616,160,7,0
0,_001,_Donald's,_009,344,71,7,0,0,333,77,10,2
0,_001,_Due West,_010,759,360,15,2,0,752,375,14,0
0,_001,_Hall's Store,_011,316,152,1,2,0,322,150,1,1
0,_001,_Keowee,_012,717,179,7,3,0,704,190,14,2
0,_001,_Lowndesville,_013,723,123,6,0,1,700,139,14,0
0,_001,_Lebanon,_014,459,144,4,1,0,447,148,13,0
0,_001,_Smithville,_015,510,204,3,3,1,504,205,10,2
0,_003,_Srs,_000,0,0,0,0,0,0,0,0,0
0,_003,_Aiken No. 1,_001,616,370,11,5,1,629,365,7,0
0,_003,_Aiken No. 2,_002,185,589,6,5,2,186,599,5,1
0,_003,_Aiken No. 3,_003,133,845,4,7,2,118,864,12,0
0,_003,_Aiken No. 4,_004,69,366,2,1,0,66,372,4,0
0,_003,_Aiken No. 5,_005,333,550,12,3,0,347,549,6,0
0,_003,_Aiken No. 6,_006,596,405,14,5,0,619,397,11,0
0,_003,_Bath,_007,299,239,2,4,1,283,252,13,0
0,_003,_Beech Island,_008,512,596,8,5,2,506,599,16,5
0,_003,_Belvedere No. 9,_009,540,491,15,9,1,522,511,20,1
0,_003,_Carolina Heights,_010,278,477,7,2,1,272,482,9,1
0,_003,_China Springs,_011,355,671,10,10,1,344,680,17,0
0,_003,_Clearwater,_012,239,209,3,3,3,224,230,3,2
0,_003,_College Acres,_013,843,435,19,6,2,831,463,14,1
0,_003,_Eureka,_014,803,330,9,5,0,787,339,17,1
0,_003,_Gloverville,_015,520,165,8,4,0,502,179,15,1
0,_003,_Graniteville,_016,460,263,7,3,0,450,274,10,0
0,_003,_Jackson,_017,878,250,5,1,0,861,257,20,0
0,_003,_Langley,_018,600,190,8,0,0,577,203,19,0
0,_003,_Lynwood,_019,463,128,8,2,1,447,137,14,1
0,_003,_Millbrook,_020,907,542,20,4,0,919,530,23,1
0,_003,_Monetta,_021,459,321,11,1,3,453,334,16,0
0,_003,_Montmorenci No. 22,_022,886,533,16,3,2,876,542,20,1
0,_003,_New Ellenton,_023,565,547,16,4,1,549,561,26,3
0,_003,_New Holland,_024,431,138,8,0,0,422,144,9,2
0,_003,_N. Augusta No. 25,_025,583,425,11,9,2,572,442,10,0
0,_003,_N. Augusta No. 26,_026,367,349,17,1,0,359,351,19,3
0,_003,_N. Augusta No. 27,_027,989,233,17,2,0,991,227,22,3
0,_003,_N. Augusta No. 28,_028,618,257,14,3,0,633,250,10,1
0,_003,_N. Augusta No. 29,_029,669,464,33,9,0,688,468,16,1
0,_003,_Oak Grove,_030,572,175,16,3,0,563,180,20,1
0,_003,_Perry,_031,438,182,6,1,0,419,191,19,0
0,_003,_Salley,_032,239,260,3,0,0,233,265,4,0
0,_003,_Shaws Fork,_033,359,165,5,2,0,353,170,10,0
0,_003,_Shiloh,_034,975,428,13,6,1,963,439,18,2
0,_003,_Six Points No. 35,_035,675,478,11,2,1,660,496,14,1
0,_003,_Tabernacle,_036,258,242,5,2,0,256,243,5,1
0,_003,_Talatha,_037,812,540,11,3,2,792,556,18,2
0,_003,_Vaucluse,_038,859,608,23,4,1,839,633,22,1
0,_003,_Wagener,_039,859,581,12,5,2,828,594,29,3
0,_003,_Ward,_040,668,417,13,4,1,642,437,23,3
0,_003,_Warrenville,_041,884,355,14,0,0,844,373,33,3
0,_003,_White Pond,_042,303,272,1,0,0,289,274,8,1
0,_003,_Windsor No. 43,_043,487,279,12,2,0,482,283,12,0
0,_003,_Belvedere No. 44,_044,561,384,21,3,3,541,394,32,1
0,_003,_Misty Lakes,_045,854,580,17,3,1,854,590,14,1
0,_003,_Six Points No. 46,_046,112,716,4,5,0,108,719,5,0
0,_003,_Aiken No. 47,_047,461,351,10,5,1,469,343,14,0
0,_003,_Hammond No. 48,_048,573,372,10,2,2,572,379,12,0
0,_003,_Willow Springs,_049,683,206,12,1,0,663,221,14,2
0,_003,_Breezy Hill,_050,1110,833,18,2,0,1091,850,24,0
0,_003,_Midland Valley No. 51,_051,1153,618,22,1,1,1141,631,24,2
0,_003,_Levels No. 52,_052,484,431,19,3,0,477,444,15,1
0,_003,_Hollow Creek,_053,759,345,5,5,1,785,334,7,1
0,_003,_N. Augusta No. 54,_054,347,406,15,1,0,328,425,11,2
0,_003,_N. Augusta No. 55,_055,517,236,5,1,1,522,230,9,0
0,_003,_Couchton,_056,623,367,9,2,0,592,381,29,2
0,_003,_Redds Branch,_057,578,282,12,3,0,560,299,15,0
0,_003,_Fox Creek No. 58,_058,837,310,11,5,2,833,322,11,1
0,_003,_Pine Forest,_059,1015,326,15,3,1,995,345,20,0
0,_003,_Gem Lakes No. 60,_060,749,291,7,5,0,747,288,21,0
0,_003,_Silver Bluff,_061,617,740,13,6,1,592,758,22,1
0,_003,_Belvedere No. 62,_062,413,476,5,5,0,396,488,15,1
0,_003,_Ascauga Lake No. 63,_063,476,236,7,1,0,461,248,11,0
0,_003,_Cedar Creek No. 64,_064,1024,441,10,3,1,1046,420,16,0
0,_003,_Sleepy Hollow No. 65,_065,1136,421,14,3,1,1138,418,19,2
0,_003,_Hitchcock No. 66,_066,499,315,10,2,0,502,312,9,2
0,_003,_N. Augusta No. 67,_067,735,275,17,3,1,736,284,11,0
0,_003,_N. Augusta No. 68,_068,1326,565,25,2,2,1315,581,29,1
0,_003,_Anderson Pond No. 69,_069,1167,568,14,4,0,1216,532,12,0
0,_003,_Sandstone No. 70,_070,579,371,18,10,3,582,375,27,0
0,_003,_Midland Valley No. 71,_071,1066,442,16,3,0,1051,454,18,2
0,_003,_Levels No. 72,_072,396,310,10,2,1,392,315,12,0
0,_003,_Fox Creek No. 73,_073,823,267,20,1,2,834,263,11,0
0,_003,_Belvedere No. 74,_074,302,158,6,1,0,296,160,9,1
0,_003,_South Aiken No. 75,_075,881,506,17,9,1,878,512,23,0
0,_003,_South Aiken No. 76,_076,1116,627,22,4,0,1142,609,17,1
0,_003,_Gem Lakes No. 77,_077,811,407,11,4,1,826,400,8,2
0,_003,_Montmorenci No. 78,_078,469,269,10,1,2,469,266,13,1
0,_003,_Sandstone No. 79,_079,402,282,2,0,1,405,278,2,0
0,_003,_N. Augusta No. 80,_080,452,187,11,3,0,451,193,11,1
0,_003,_Hammond No. 81,_081,489,252,7,2,0,479,260,15,1
0,_003,_Windsor No. 82,_082,485,217,7,1,0,461,235,13,1
0,_003,_Levels No. 83,_083,250,241,20,2,1,263,246,8,0
0,_003,_Ascauga Lake No. 84,_084,675,288,12,2,1,675,292,9,2
0,_005,_Allendale #1,_001,110,545,6,1,0,115,549,1,1
0,_005,_Allendale #2,_002,13,615,3,7,2,15,633,4,0
0,_005,_Fairfax #1,_003,133,224,0,2,0,130,228,3,0
0,_005,_Fairfax #2,_004,66,646,1,4,0,62,655,3,0
0,_005,_Martin,_005,44,161,1,0,0,44,165,2,0
0,_005,_Sycamore,_006,175,77,2,0,0,176,82,1,0
0,_005,_Ulmer,_007,99,65,5,1,0,99,68,3,0
0,_005,_Woods,_008,195,385,1,4,0,192,393,2,1
0,_007,_South Fant,_000,199,450,7,4,2,184,466,7,2
0,_007,_Appleton-Equinox,_009,240,274,5,2,0,212,286,18,0
0,_007,_Barker's Creek-Mcadams,_010,301,31,1,0,0,298,34,1,0
0,_007,_Belton,_011,963,365,18,0,1,923,393,27,0
0,_007,_Broadview,_012,167,307,3,0,0,159,317,4,0
0,_007,_Bishop's Branch,_013,1065,390,21,4,4,1053,410,20,0
0,_007,_Bowling Green,_015,474,85,4,0,1,464,90,11,0
0,_007,_Broadway,_016,437,179,5,0,0,425,185,10,1
0,_007,_Brushy Creek,_017,1581,404,28,4,1,1575,420,26,1
0,_007,_Cedar Grove,_018,822,188,11,0,0,819,192,8,0
0,_007,_Centerville Station A,_019,1512,618,23,4,2,1477,641,31,2
0,_007,_Chiquola Mill,_020,230,190,5,1,0,210,203,11,2
0,_007,_Concrete,_021,1696,657,36,6,1,1685,675,29,4
0,_007,_Craytonville,_023,695,70,3,2,0,681,75,11,0
0,_007,_Denver-Sandy Springs,_024,903,303,12,6,1,895,316,15,3
0,_007,_Edgewood Station A,_025,925,569,18,1,0,898,590,21,1
0,_007,_Five Forks,_027,935,324,14,2,1,932,335,10,1
0,_007,_Flat Rock,_028,809,188,11,2,0,786,205,16,1
0,_007,_Fork No 1,_029,896,216,12,2,1,895,225,9,1
0,_007,_Fork No 2,_030,1003,241,22,3,1,985,257,26,2
0,_007,_Friendship,_031,628,111,2,0,0,617,119,7,0
0,_007,_Gluck Mill,_032,518,313,6,2,0,502,329,12,1
0,_007,_Green Pond Station A,_033,1425,411,21,0,1,1398,437,24,1
0,_007,_Hall,_035,772,206,8,0,0,749,215,23,1
0,_007,_Hammond School,_036,1383,564,29,3,2,1377,579,24,0
0,_007,_High Point,_037,393,55,4,0,0,392,50,9,0
0,_007,_Homeland Park,_038,297,59,3,1,1,286,64,13,0
0,_007,_Honea Path,_039,814,210,9,4,0,801,225,12,0
0,_007,_Hopewell,_040,984,372,20,4,0,1008,359,17,3
0,_007,_Iva,_041,925,175,11,2,2,902,191,19,0
0,_007,_Jackson Mill,_042,855,132,5,0,0,842,141,13,1
0,_007,_La France,_043,516,208,18,2,1,511,219,14,1
0,_007,_Melton,_045,391,121,8,3,0,393,125,3,1
0,_007,_Mount Tabor,_046,1346,536,19,2,1,1346,548,14,0
0,_007,_Mountain Creek,_047,403,158,2,2,0,383,168,9,1
0,_007,_Neal's Creek,_049,935,498,6,4,0,901,512,25,1
0,_007,_North Pointe,_050,1186,423,18,4,1,1194,425,12,2
0,_007,_Pelzer,_051,449,84,6,1,0,432,92,14,1
0,_007,_Pendleton,_053,1058,1065,51,10,3,1091,1079,16,5
0,_007,_Piedmont,_054,497,151,12,1,1,479,167,16,0
0,_007,_Piercetown,_055,1386,391,17,1,0,1367,403,20,4
0,_007,_Rock Mill,_057,781,208,11,1,0,784,202,10,1
0,_007,_Rock Spring,_058,466,151,5,0,0,457,157,10,0
0,_007,_Shirley's Store,_061,507,109,4,0,0,502,111,8,1
0,_007,_Simpsonville,_062,1548,490,24,3,0,1523,501,42,2
0,_007,_Starr,_063,584,68,7,2,0,577,74,13,0
0,_007,_Three And Twenty,_064,1583,331,26,1,0,1546,351,39,0
0,_007,_Toney Creek,_065,465,84,3,0,0,454,90,8,0
0,_007,_Townville,_066,491,112,6,2,0,482,123,8,0
0,_007,_West Pelzer,_068,1116,232,19,2,0,1104,241,25,0
0,_007,_West Savannah,_069,312,115,3,0,0,304,119,7,1
0,_007,_White Plains,_070,1938,453,33,6,2,1911,478,39,2
0,_007,_Williamston,_071,1255,422,23,3,1,1245,451,13,0
0,_007,_Williamston Mill,_072,1578,299,28,4,3,1539,336,34,2
0,_007,_Wright's School,_073,560,57,2,0,1,555,59,9,0
0,_007,_Anderson 1/1,_074,626,424,11,1,2,623,429,12,0
0,_007,_Anderson 1/2,_075,740,298,15,1,2,754,294,10,1
0,_007,_Anderson 2/1,_076,687,324,20,1,0,683,337,14,1
0,_007,_Anderson 2/2,_077,1102,682,28,2,0,1082,703,31,2
0,_007,_Anderson 3/1,_078,191,315,9,1,2,197,309,10,1
0,_007,_Anderson 3/2,_079,305,361,7,1,0,295,375,6,1
0,_007,_Anderson 4/1,_080,117,555,3,2,0,107,566,4,2
0,_007,_Anderson 4/2,_081,354,993,11,7,0,327,1021,12,2
0,_007,_Anderson 5/B,_083,148,606,1,2,0,132,610,9,2
0,_007,_Anderson 6/1,_084,790,517,24,4,2,778,526,24,5
0,_007,_Anderson 6/2,_085,209,450,4,1,0,189,467,7,0
0,_007,_Varennes,_086,390,303,10,2,1,354,333,18,0
0,_007,_Lakeside,_087,1091,648,13,2,2,1065,672,19,4
0,_007,_Centerville Station B,_091,1373,649,32,4,1,1360,667,27,0
0,_007,_Edgewood Station B,_092,1186,421,19,2,1,1181,430,19,1
0,_007,_Cox's Creek,_093,572,290,15,2,0,589,284,7,0
0,_007,_Mt Airy,_094,1525,372,28,1,2,1512,390,20,4
0,_007,_Belton Annex,_111,945,347,21,3,1,935,363,22,3
0,_007,_Powdersville,_121,1811,636,31,4,1,1781,664,34,6
0,_007,_Glenview,_132,1021,517,14,2,0,1009,536,7,0
0,_007,_Hammond Annex,_136,1037,432,9,5,0,1069,417,8,1
0,_007,_Center Rock,_157,1421,475,10,4,3,1402,484,27,3
0,_007,_Hunt Meadows,_164,2662,761,50,8,2,2644,784,52,6
0,_007,_Town Creek,_165,1064,370,10,3,0,1077,359,14,0
0,_009,_Colston,_001,97,47,0,0,0,91,49,5,0
0,_009,_Edisto,_002,160,81,2,0,0,158,80,3,0
0,_009,_Ehrhardt,_003,295,220,2,0,1,295,220,2,0
0,_009,_East Denmark,_004,243,970,6,4,2,240,985,5,0
0,_009,_Govan,_005,39,70,2,0,0,37,72,2,0
0,_009,_Hightower's Mill,_006,34,30,0,0,0,33,31,0,0
