IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_SD_20161108_GEN_PRE_REP_TRUMP,USA_SD_20161108_GEN_PRE_DEM_CLINTON,USA_SD_20161108_GEN_PRE_LIB_JOHNSON,USA_SD_20161108_GEN_PRE_CON_CASTLE,USA_SD_20161108_GEN_USS_REP_THUNE,USA_SD_20161108_GEN_USS_DEM_WILLIAMS,USA_SD_20161108_GEN_PUC_REP_NELSON,USA_SD_20161108_GEN_PUC_DEM_CLOUD,USA_SD_20161108_GEN_HAL_REP_NOEM,USA_SD_20161108_GEN_HAL_DEM_HAWKS
0,_003,_Precinct 01,_0VTD-1,230,62,11,4,254,60,270,40,229,85
0,_003,_Precinct 02,_0VTD-2,120,23,7,3,121,32,145,10,107,50
0,_003,_Precinct 03,_0VTD-3,290,101,19,6,314,107,362,61,262,159
0,_003,_Precinct 05,_0VTD-5,128,61,11,1,135,62,153,44,128,74
0,_003,_Precinct 07,_0VTD-7,206,93,26,5,249,82,271,53,203,124
0,_005,_Precinct 01,_VTD-01,817,330,63,16,900,348,946,276,828,417
0,_005,_Precinct 02,_VTD-02,365,230,43,12,405,245,432,208,368,278
0,_005,_Precinct 03,_VTD-03,377,212,29,9,437,188,462,142,385,240
0,_005,_Precinct 12,_VTD-12,616,181,38,14,677,184,726,115,593,261
0,_005,_Precinct 15,_VTD-15,223,28,3,0,228,26,228,18,214,35
0,_005,_Precinct 17,_VTD-17,202,60,22,1,228,60,223,58,194,92
0,_005,_Precinct 7-1,_VTDW71,534,223,33,5,599,203,644,140,521,277
0,_005,_Precinct 7-2,_VTDW72,505,212,35,7,584,200,643,132,534,252
0,_005,_Precinct 8-1,_VTDW81,354,233,27,7,453,182,488,123,376,253
0,_005,_Precinct 8-2,_VTDW82,462,203,30,11,538,173,584,119,478,235
0,_007,_Allen,_0VTD-1,70,183,11,2,112,148,83,179,96,166
0,_007,_Vetal-Tuthill,_0VTD-4,150,7,12,0,157,11,149,11,150,16
0,_007,_Martin City,_VTD-05,211,121,21,8,249,111,225,126,231,128
0,_007,_Martin Rural 26/27,_VTD-27,235,101,13,4,240,112,228,118,244,109
0,_009,_Precinct 01 Scotland,_0VTD-1,439,105,29,6,470,114,496,69,412,170
0,_009,_Precinct 02 Avon,_0VTD-2,371,108,16,11,407,105,425,75,362,144
0,_009,_Precinct 03 Tyndall,_0VTD-3,471,208,30,8,500,224,570,125,430,295
0,_009,_Precinct 04 Tabor,_0VTD-4,337,156,32,6,388,178,426,96,295,247
0,_009,_Precinct 05 Springfield,_0VTD-5,487,127,22,5,488,149,498,112,443,190
0,_011,_Precinct 01,_0VTD-1,189,166,39,8,246,134,249,115,207,182
0,_011,_Precinct 02,_0VTD-2,293,343,54,10,383,277,386,237,322,376
0,_011,_Precinct 03,_0VTD-3,309,356,64,13,404,288,408,246,340,390
0,_011,_Precinct 04,_0VTD-4,677,622,89,17,885,503,893,430,744,682
0,_011,_Precinct 05,_0VTD-5,1236,933,168,33,1615,754,1630,645,1359,1023
