IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_SD_20201103_GEN_PRE_REP_TRUMP,USA_SD_20201103_GEN_PRE_DEM_BIDEN,USA_SD_20201103_GEN_PRE_LIB_JORGENSEN,USA_SD_20201103_GEN_USS_REP_ROUNDS,USA_SD_20201103_GEN_USS_DEM_AHLERS,USA_SD_20201103_GEN_HAL_REP_JOHNSON,USA_SD_20201103_GEN_HAL_DEM_LUALLIN,USA_SD_20201103_GEN_PUC_REP_HANSON,USA_SD_20201103_GEN_PUC_DEM_EAGLE,USA_SD_20201103_GEN_PUC_LIB_SAXON
0,_003,_Precinct 01,_0VTD-1,254,57,8,247,72,287,23,262,36,13
0,_003,_Precinct 02,_0VTD-2,128,17,1,119,30,130,15,125,13,5
0,_003,_Precinct 03,_0VTD-3,307,96,18,279,142,369,46,304,66,22
0,_003,_Precinct 05,_0VTD-5,130,58,1,126,65,162,22,134,38,6
0,_003,_Precinct 07,_0VTD-7,233,89,8,231,94,276,38,248,54,9
0,_005,_Precinct 01,_VTD-01,897,350,25,928,342,1050,170,929,234,55
0,_005,_Precinct 02,_VTD-02,364,237,24,406,216,436,143,361,191,49
0,_005,_Precinct 03,_VTD-03,337,220,22,367,210,449,93,381,148,27
0,_005,_Precinct 12,_VTD-12,722,182,8,721,198,797,104,717,122,38
0,_005,_Precinct 15,_VTD-15,298,57,3,303,58,328,24,302,39,6
0,_005,_Precinct 17,_VTD-17,209,74,13,218,79,254,34,209,56,10
0,_005,_Precinct 7-1,_VTDW71,548,238,29,593,226,687,96,595,153,31
0,_005,_Precinct 7-2,_VTDW72,531,286,12,583,247,681,107,611,163,28
0,_005,_Precinct 8-1,_VTDW81,396,242,16,446,212,553,73,468,145,22
0,_005,_Precinct 8-2,_VTDW82,506,221,14,539,198,622,92,558,121,35
0,_007,_Allen,_0VTD-1,59,194,4,81,172,103,121,59,176,12
0,_007,_Vetal-Tuthill,_0VTD-4,152,17,1,147,18,151,10,136,15,4
0,_007,_Martin City,_VTD-05,214,143,9,227,136,264,80,197,131,18
0,_007,_Martin Rural 26/27,_VTD-27,269,112,9,274,111,289,77,239,107,17
0,_009,_Precinct 01 Scotland,_0VTD-1,460,105,5,442,126,501,56,465,67,19
0,_009,_Precinct 02 Avon,_0VTD-2,389,110,9,373,132,435,60,377,79,27
0,_009,_Precinct 03 Tyndall,_0VTD-3,484,223,12,481,233,578,111,482,143,38
0,_009,_Precinct 04 Tabor,_0VTD-4,403,154,7,365,201,461,86,369,116,26
0,_009,_Precinct 05 Springfield,_0VTD-5,499,129,12,495,142,544,76,500,86,27
0,_011,_Precinct 01,_0VTD-1,313,272,26,344,256,421,124,334,196,42
0,_011,_Precinct 02,_0VTD-2,418,480,35,459,451,561,219,445,345,56
0,_011,_Precinct 03,_0VTD-3,412,490,40,453,461,553,224,439,352,64
0,_011,_Precinct 04,_0VTD-4,744,747,46,818,703,1000,341,793,537,74
0,_011,_Precinct 05,_0VTD-5,1464,1216,85,1609,1143,1966,555,1560,873,138
0,_011,_Precinct 06,_0VTD-6,1272,971,71,1398,913,1707,444,1355,697,115
0,_011,_Precinct 08,_0VTD-8,446,301,21,491,283,599,137,476,216,33
0,_011,_Precinct 09,_0VTD-9,474,243,22,521,228,636,111,505,174,35
0,_011,_Precinct 10,_VTD-10,411,195,17,452,183,552,89,438,140,28
0,_011,_Precinct 11,_VTD-11,460,304,30,505,286,617,139,490,219,48
0,_011,_Precinct 12,_VTD-12,197,79,5,216,74,264,36,209,56,8
0,_011,_Precinct 13,_VTD-13,160,91,6,175,86,214,42,170,66,9
0,_011,_Precinct 14,_VTD-14,802,502,33,882,473,1078,230,855,361,53
0,_011,_Precinct 15,_VTD-15,102,81,4,112,76,137,37,108,58,6
0,_011,_Precinct 16,_VTD-16,325,138,16,357,130,436,63,346,99,26
0,_013,_Precinct 01,_0VTD-1,806,502,34,851,482,1044,218,847,348,65
0,_013,_Precinct 02,_0VTD-2,397,320,19,419,307,515,139,417,222,36
0,_013,_Precinct 03,_0VTD-3,907,569,39,958,547,1175,247,953,394,73
0,_013,_Precinct 04,_0VTD-4,395,281,23,417,270,512,122,415,195,44
0,_013,_Precinct 05,_0VTD-5,279,244,21,295,235,362,106,294,169,40
0,_013,_Precinct 06,_0VTD-6,1286,677,45,1358,651,1666,294,1352,470,85
0,_013,_Precinct 07,_0VTD-7,1346,668,47,1420,642,1743,291,1414,463,90
0,_013,_Precinct 08,_0VTD-8,642,463,38,678,445,832,201,675,321,72
0,_013,_Precinct 09,_0VTD-9,590,316,22,622,304,764,137,619,219,41
0,_013,_Precinct 10,_VTD-10,265,205,18,280,197,343,89,279,142,35
0,_013,_Precinct 11,_VTD-11,358,282,19,378,271,464,123,376,195,36
0,_013,_Precinct 12,_VTD-12,484,196,14,511,189,627,85,509,136,27
0,_013,_Precinct 13,_VTD-13,232,157,8,245,151,300,68,243,109,15
0,_013,_Precinct 14,_VTD-14,143,127,6,151,122,185,55,150,88,11
0,_013,_Precinct 15,_VTD-15,694,283,19,732,272,899,123,729,196,36
0,_013,_Precinct 16,_VTD-16,260,116,7,275,111,337,50,274,80,13
0,_013,_Precinct 17,_VTD-17,373,255,11,394,245,484,111,392,177,20
0,_013,_Precinct 18,_VTD-18,136,116,4,143,111,176,50,143,80,8
0,_013,_Precinct 19,_VTD-19,652,427,22,688,410,844,186,685,296,42
0,_013,_Precinct 20,_VTD-20,80,72,3,85,70,104,32,84,50,6
0,_013,_Precinct 21,_VTD-21,124,138,4,130,132,160,60,130,95,8
0,_013,_Precinct 22,_VTD-22,131,124,6,138,119,170,54,138,86,11
0,_015,_Precinct 01,_0VTD-1,836,452,40,859,469,1066,210,866,325,75
0,_015,_Precinct 02,_0VTD-2,449,98,12,424,137,492,58,430,73,24
0,_015,_Precinct 03,_0VTD-3,305,94,10,297,110,341,52,317,63,18
0,_015,_Precinct 04,_0VTD-4,72,13,3,69,18,80,6,66,15,6
