IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_TN_20161108_GEN_PRE_REP_TRUMP,USA_TN_20161108_GEN_PRE_DEM_CLINTON,USA_TN_20161108_GEN_PRE_LIB_JOHNSON,USA_TN_20161108_GEN_PRE_GRE_STEIN,USA_TN_20161108_GEN_PRE_IND_SMITH,USA_TN_20161108_GEN_PRE_IND_KENNEDY,USA_TN_20161108_GEN_PRE_IND_FUENTE,USA_TN_20161108_GEN_PRE_OTH_WRITEIN
0,_001,_Andersonville,_0001,1222,227,32,5,7,1,2,4
0,_001,_Briceville,_0002,243,42,5,0,1,0,3,0
0,_001,_Bull Run,_0003,1397,424,76,6,13,2,3,9
0,_001,_Claxton,_0004,1319,387,53,5,8,0,2,8
0,_001,_Clinton,_0005,1330,556,47,8,19,2,5,4
0,_001,_Clinton High,_0006,792,279,33,7,7,4,2,9
0,_001,_Clinton Middle School,_0007,453,87,9,3,1,0,1,0
0,_001,_Dutch Valley,_0008,271,73,11,0,2,0,0,1
0,_001,_Emory Valley,_0009,1034,894,88,19,15,3,1,18
0,_001,_Fairview,_0010,543,117,12,1,6,0,1,2
0,_001,_Glen Alpine,_0011,1149,304,48,4,9,2,3,2
0,_001,_Glenwood,_0012,763,608,75,22,6,5,4,9
0,_001,_Hendrix Creek,_0013,849,784,77,10,10,2,3,12
0,_001,_Highland View,_0014,299,278,28,4,3,1,2,7
0,_001,_Rocky Top,_0015,303,91,14,3,4,2,4,0
0,_001,_Lake City Middle School,_0016,1219,250,18,4,8,1,2,4
0,_001,_Marlow,_0017,505,111,13,0,1,1,3,3
0,_001,_Norris,_0018,412,365,34,7,2,0,3,0
0,_001,_North Clinton,_0019,809,245,30,10,11,3,2,2
0,_001,_Norwood,_0020,915,266,40,10,9,1,5,5
0,_001,_Oak Ridge City Hall,_0021,324,521,33,7,0,2,0,4
0,_001,_Pine Valley,_0022,748,606,84,22,8,2,5,4
0,_001,_Robertsville,_0023,496,434,46,10,9,2,7,11
0,_001,_Rosedale,_0024,53,27,0,0,1,0,2,0
0,_001,_South Clinton,_0025,674,177,30,2,7,2,1,3
0,_001,_West Hills,_0026,740,574,70,13,4,2,2,12
0,_001,_Woodland,_0027,350,286,28,7,3,2,6,10
0,_003,_101 Wartrace Baptist Church,_0101,974,230,27,4,2,1,2,0
0,_003,_102 Bell Buckle/Webb School,_0102,794,213,42,8,3,2,1,0
0,_003,_203 Fairhaven Baptist Church,_0103,1605,298,31,7,10,0,3,2
0,_003,_303 Unionville Fire Hall,_0104,1472,289,32,9,2,2,1,5
0,_003,_403 Bedford Community Center,_0105,1582,308,20,6,6,0,4,1
0,_003,_502 Flat Creek Community Center,_0106,1318,271,32,5,6,1,1,0
0,_003,_505 Normandy Baptist Church,_0107,659,146,17,4,3,0,0,5
0,_003,_601 East Side School,_0108,490,374,24,8,2,0,4,0
0,_003,_701 Deery Eakin School,_0109,837,445,34,8,4,1,1,0
0,_003,_801 Thomas School,_0110,744,436,16,6,1,0,2,0
0,_003,_902 Southside School,_0111,1011,385,31,10,8,1,6,0
0,_005,_2 Camden Jr High,_0201,784,265,18,5,1,2,1,0
0,_005,_4 Camden Elementary School,_0202,782,247,13,0,5,3,4,0
0,_005,_3 Camden City Hall,_0203,725,228,15,2,0,0,2,0
0,_005,_1 Holladay School,_0204,846,213,9,3,0,0,2,1
0,_005,_5 Camden Public Library,_0205,760,270,15,1,2,4,2,0
0,_005,_6 Big Sandy School,_0206,819,251,13,3,3,4,1,4
0,_007,_Bellview,_0301,445,54,11,2,0,1,2,0
0,_007,_Brayton,_0302,332,36,5,2,6,0,0,0
0,_007,_Cold Springs,_0303,379,98,9,0,0,0,0,3
0,_007,_Dill,_0304,150,56,5,0,0,1,1,0
0,_007,_Griffith,_0305,84,42,4,1,0,0,1,1
0,_007,_Lee Station,_0306,112,62,7,0,0,0,0,0
0,_007,_Luminary,_0307,249,32,8,2,0,0,0,0
0,_007,_Lusk,_0308,499,168,9,6,0,1,1,1
0,_007,_Mt. Crest,_0309,285,56,11,0,2,0,0,2
0,_007,_Nine Mile,_0310,212,34,6,0,0,0,0,0
0,_007,_Pikeville,_0311,414,198,9,5,1,1,1,2
0,_007,_Rigsby,_0312,461,61,11,0,0,0,1,3
0,_009,_Townsend,_0401,1021,336,35,6,11,6,2,9
0,_009,_Oak View,_0402,1461,319,45,8,3,1,1,7
0,_009,_Board of Education,_0403,1461,565,88,13,12,1,0,8
0,_009,_Maryville Junior High,_0404,1230,637,109,18,4,3,4,20
0,_009,_Prospect,_0405,1286,270,39,7,8,1,6,8
0,_009,_Rockford,_0406,898,377,36,13,6,1,2,12
0,_009,_Middlesettlements,_0407,328,78,8,1,4,1,1,1
0,_009,_Alcoa High School,_0408,1477,589,93,20,11,5,7,23
0,_009,_Mentor,_0409,333,139,9,3,1,0,0,0
0,_009,_Beech Grove,_0410,1005,518,79,19,10,2,3,11
0,_009,_Martin Luther King,_0411,346,507,22,6,3,0,3,2
0,_009,_Oak Street,_0412,1100,300,45,11,7,3,5,8
0,_009,_Everett,_0413,643,307,47,13,4,6,2,8
0,_009,_Maryville Municipal,_0414,1114,480,64,21,10,2,2,8
0,_009,_Big Springs,_0415,699,113,22,4,5,1,1,6
0,_009,_Friendsville,_0416,855,176,27,7,6,0,0,5
0,_009,_William Blount High,_0417,954,238,47,3,6,4,2,5
0,_009,_Lanier,_0418,1128,222,27,11,12,1,2,7
0,_009,_William Blount Academy,_0419,2889,614,114,18,11,5,3,18
0,_009,_Maryville High School,_0420,1636,764,99,14,13,5,5,20
0,_009,_Miser Station,_0421,883,291,40,7,2,0,1,7
0,_009,_Louisville,_0423,1087,370,60,5,9,3,1,4
0,_009,_Heritage,_0424,1184,261,27,3,2,1,2,6
0,_009,_Chilhowee View,_0425,984,290,30,6,6,4,3,7
0,_009,_Walland,_0426,591,151,16,2,6,1,0,2
0,_009,_Montvale,_0427,2589,657,101,13,19,4,4,6
0,_009,_Porter,_0429,1169,259,44,6,8,2,0,7
0,_009,_John Sevier,_0430,1343,525,77,15,16,2,4,13
0,_009,_Eagleton Cafeteria,_0431,2100,661,89,14,13,4,7,19
0,_009,_Maryville College,_0432,574,352,46,14,5,1,2,9
0,_009,_Fairview,_0433,1196,329,30,4,5,1,2,9
0,_009,_Carpenters,_0434,1302,274,30,6,11,0,5,1
0,_009,_Happy Valley,_0435,59,14,3,0,0,0,0,0
0,_009,_Pellissippi Campus,_0436,518,117,18,2,1,1,1,5
0,_011,_101 McDonald Ruritan,_0501,1122,195,39,6,5,1,1,0
0,_011,_701 Stuart School,_0502,2316,820,109,22,16,4,7,34
0,_011,_604 Black Fox School,_0503,819,123,32,10,9,1,1,0
0,_011,_201 E.L. Ross School,_0504,3208,749,119,15,15,4,6,29
0,_011,_202 Walker Valley High,_0505,2275,497,82,15,6,2,4,10
0,_011,_302 Senior Center,_0506,2259,626,95,15,16,7,11,27
0,_011,_702 Cleveland High,_0507,1471,481,69,14,7,3,4,19
0,_011,_402 Michigan Ave School,_0508,2472,472,73,13,8,4,3,14
0,_011,_301 Lee University,_0509,998,518,79,23,8,5,3,27
0,_011,_502 5 Points Museum,_0510,646,334,32,8,7,1,0,12
0,_011,_601 Valley View School,_0511,1413,179,29,9,2,0,5,14
0,_011,_401 Oak Grove School,_0512,1998,310,62,11,8,3,4,7
0,_011,_603 Waterville School,_0513,886,193,26,5,3,4,0,12
0,_011,_501 Blythe/Bower School,_0514,1736,454,65,10,2,0,5,12
0,_011,_602 Blue Springs School,_0515,1672,270,49,9,9,2,7,12
0,_011,_102 Prospect School,_0516,2653,528,99,15,19,1,5,31
0,_011,_103 Hopewell School,_0517,1824,321,39,10,3,2,0,7
0,_013,_College Hill,_0601,209,55,5,2,0,0,1,0
