IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_TN_20201103_GEN_PRE_REP_TRUMP,USA_TN_20201103_GEN_PRE_DEM_BIDEN,USA_TN_20201103_GEN_PRE_LIB_JORGENSEN,USA_TN_20201103_GEN_PRE_GRE_HAWKINS,USA_TN_20201103_GEN_PRE_IND_WEST,USA_TN_20201103_GEN_PRE_IND_BLANKENSHIP,USA_TN_20201103_GEN_PRE_IND_KENNEDY,USA_TN_20201103_GEN_PRE_IND_RIVA,USA_TN_20201103_GEN_PRE_IND_FUENTE,USA_TN_20201103_GEN_USS_REP_HAGERTY,USA_TN_20201103_GEN_USS_DEM_BRADSHAW,USA_TN_20201103_GEN_USS_IND_HOOPER,USA_TN_20201103_GEN_USS_IND_STANSBERRY,USA_TN_20201103_GEN_USS_IND_MCLEOD,USA_TN_20201103_GEN_USS_IND_JAMES,USA_TN_20201103_GEN_USS_IND_HILL,USA_TN_20201103_GEN_USS_IND_GRUNAU,USA_TN_20201103_GEN_USS_IND_HENLEY,USA_TN_20201103_GEN_USS_IND_FAPARUSI_SR
0,_001,_Andersonville,_0001,1554,307,13,2,0,1,2,0,0,1529,268,1,4,7,2,2,3,5,2
0,_001,_Briceville,_0002,333,64,0,0,0,0,0,0,0,317,58,0,1,1,2,0,1,2,1
0,_001,_Bull Run,_0003,1692,567,29,3,1,3,1,1,0,1677,526,8,3,12,5,1,2,4,5
0,_001,_Claxton,_0004,1637,520,22,3,6,5,5,0,0,1622,484,0,3,12,3,4,3,2,6
0,_001,_Clinton,_0005,1548,647,18,2,5,6,0,1,0,1513,595,3,3,14,0,3,2,4,9
0,_001,_Clinton High,_0006,962,366,7,1,0,4,0,0,1,943,328,3,3,6,1,1,1,2,2
0,_001,_Clinton Middle School,_0007,533,124,4,0,3,1,0,0,0,530,103,1,4,1,1,1,2,1,0
0,_001,_Dutch Valley,_0008,344,69,4,0,1,0,0,0,0,329,70,0,0,2,0,1,0,0,0
0,_001,_Emory Valley,_0009,1077,1151,37,8,7,4,0,1,0,1145,1031,4,2,15,1,6,10,7,12
0,_001,_Fairview,_0010,680,134,4,1,1,0,1,0,0,661,129,0,3,1,0,2,1,1,0
0,_001,_Glen Alpine,_0011,1444,388,19,1,1,5,1,1,1,1428,357,2,0,9,6,3,2,4,4
0,_001,_Glenwood,_0012,852,835,26,6,6,0,1,0,0,869,771,2,4,13,0,2,2,6,6
0,_001,_Hendrix Creek,_0013,1006,969,28,1,3,5,1,2,4,1061,895,1,1,12,4,3,1,2,7
0,_001,_Highland View,_0014,403,361,17,2,1,0,0,1,2,396,346,2,1,6,1,0,3,0,6
0,_001,_Rocky Top,_0015,367,101,3,0,1,0,1,1,1,347,98,2,1,3,1,0,1,1,0
0,_001,_Lake City Middle School,_0016,1517,297,12,2,5,1,2,0,1,1465,270,2,5,8,2,3,1,2,3
0,_001,_Marlow,_0017,588,131,9,0,2,0,0,0,1,573,122,0,2,2,1,2,0,5,0
0,_001,_Norris,_0018,457,474,10,1,1,1,1,0,0,482,421,2,2,3,1,2,2,2,5
0,_001,_North Clinton,_0019,1016,339,15,4,2,2,1,0,0,978,299,3,3,7,2,2,2,1,3
0,_001,_Norwood,_0020,1155,349,14,2,3,2,1,0,0,1102,343,4,3,6,1,2,4,3,4
0,_001,_Oak Ridge City Hall,_0021,460,660,25,0,5,1,2,0,0,468,621,1,2,8,2,3,4,1,3
0,_001,_Pine Valley,_0022,795,890,30,2,4,3,1,0,0,812,833,2,0,13,5,3,5,6,7
0,_001,_Robertsville,_0023,592,606,11,6,2,4,6,2,1,582,582,3,3,14,3,3,3,4,3
0,_001,_Rosedale,_0024,73,19,1,0,1,0,0,0,0,69,19,0,0,0,2,0,0,0,0
0,_001,_South Clinton,_0025,870,232,4,1,1,2,2,0,0,844,204,2,1,2,0,1,2,4,3
0,_001,_West Hills,_0026,836,742,25,3,4,1,4,3,0,860,679,3,2,13,3,4,1,3,4
0,_001,_Woodland,_0027,393,399,10,1,3,5,0,0,0,386,368,2,5,8,5,1,0,3,8
0,_003,_101 Wartrace Baptist Church,_0101,1239,306,10,2,3,1,3,0,0,1208,260,6,0,4,1,2,1,6,5
0,_003,_102 Bell Buckle/Webb School,_0102,950,264,12,1,6,0,1,0,0,937,232,3,3,2,2,1,0,6,2
0,_003,_203 Fairhaven Baptist Church,_0103,2025,418,15,4,2,1,0,1,1,1950,371,8,3,9,3,3,3,6,7
0,_003,_303 Unionville Fire Hall,_0104,1892,408,18,2,2,3,1,0,2,1811,357,3,5,7,1,5,3,9,3
0,_003,_403 Bedford Community Center,_0105,1984,389,10,2,2,6,0,0,0,1927,315,8,5,4,3,4,2,10,5
0,_003,_502 Flat Creek Community Center,_0106,1535,310,7,2,3,4,0,0,1,1496,261,5,1,6,1,3,2,4,3
0,_003,_505 Normandy Baptist Church,_0107,816,192,6,0,4,0,0,1,0,792,167,1,2,1,1,0,1,3,2
0,_003,_601 East Side School,_0108,673,521,10,4,4,3,0,1,1,660,437,5,1,11,3,6,5,3,9
0,_003,_701 Deery Eakin School,_0109,1028,573,24,2,8,4,1,2,2,1006,486,6,7,7,8,1,5,4,5
0,_003,_801 Thomas School,_0110,879,517,16,4,2,4,1,1,0,861,421,5,2,7,3,3,2,5,3
0,_003,_902 Southside School,_0111,1333,555,27,1,9,6,2,0,1,1272,501,5,3,11,3,8,2,7,6
0,_005,_2 Camden Jr High,_0201,973,254,9,0,0,1,0,0,0,921,228,7,2,8,0,3,5,8,2
0,_005,_4 Camden Elementary School,_0202,991,256,2,4,2,2,1,0,0,964,219,10,3,5,2,3,2,0,3
0,_005,_3 Camden City Hall,_0203,844,257,2,1,1,1,0,0,0,817,213,8,0,3,1,3,2,7,0
0,_005,_1 Holladay School,_0204,955,222,6,0,0,0,0,1,0,920,198,6,1,3,2,4,3,2,4
0,_005,_5 Camden Public Library,_0205,862,278,8,0,3,2,1,1,1,825,252,6,0,8,1,2,2,5,3
0,_005,_6 Big Sandy School,_0206,1043,262,8,1,2,2,1,0,0,1015,228,9,2,5,1,2,3,2,1
0,_007,_Bellview,_0301,580,89,5,1,1,1,0,0,0,557,80,2,0,2,2,1,2,5,0
0,_007,_Brayton,_0302,424,47,1,0,2,0,0,0,0,402,41,4,0,2,1,0,0,1,0
0,_007,_Cold Springs,_0303,477,102,4,2,1,2,0,0,0,448,93,1,1,2,3,0,1,5,0
0,_007,_Dill,_0304,215,47,0,0,0,1,0,0,0,191,40,1,1,0,1,1,2,1,0
0,_007,_Griffith,_0305,122,40,5,0,0,0,0,0,0,113,39,1,0,1,0,0,0,0,1
0,_007,_Lee Station,_0306,162,68,2,0,0,2,0,0,1,161,60,0,0,0,0,0,0,0,0
0,_007,_Luminary,_0307,333,39,2,0,0,1,0,0,0,310,38,2,1,2,0,1,0,2,0
0,_007,_Lusk,_0308,651,187,2,0,0,3,0,0,1,623,172,0,1,3,2,2,0,2,0
0,_007,_Mt. Crest,_0309,386,64,1,0,0,0,0,1,0,362,65,0,2,2,2,1,0,1,0
0,_007,_Nine Mile,_0310,268,34,1,0,0,0,0,0,0,255,33,0,0,0,1,0,1,0,0
0,_007,_Pikeville,_0311,497,190,5,0,3,3,1,0,0,446,176,1,5,4,4,0,0,1,1
0,_007,_Rigsby,_0312,610,64,5,1,0,0,1,0,0,592,61,0,2,4,1,0,1,1,0
0,_009,_Townsend,_0401,1321,484,4,0,1,3,1,0,2,1301,431,4,0,2,0,2,1,4,5
