IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_UT_20161108_GEN_PRE_REP_TRUMP,USA_UT_20161108_GEN_PRE_DEM_CLINTON,USA_UT_20161108_GEN_PRE_LIB_JOHNSON,USA_UT_20161108_GEN_PRE_UNA_STEIN,USA_UT_20161108_GEN_PRE_UNA_MCMULLEN,USA_UT_20161108_GEN_PRE_OTH_OTHER,USA_UT_20161108_GEN_USS_REP_LEE,USA_UT_20161108_GEN_USS_DEM_SNOW,USA_UT_20161108_GEN_USS_AME_FONUA,USA_UT_20161108_GEN_USS_UNA_BARRON,USA_UT_20161108_GEN_GOV_REP_HERBERT,USA_UT_20161108_GEN_GOV_DEM_WEINHOLTZ,USA_UT_20161108_GEN_GOV_LIB_KAMERATH,USA_UT_20161108_GEN_GOV_AME_SCHANZE,USA_UT_20161108_GEN_ATG_REP_REYES,USA_UT_20161108_GEN_ATG_DEM_HARPER,USA_UT_20161108_GEN_ATG_LIB_MCCULLOGH,USA_UT_20161108_GEN_ATG_AME_ISBELL,USA_UT_20161108_GEN_AUD_REP_ROUGALL,USA_UT_20161108_GEN_AUD_DEM_MITCHELL,USA_UT_20161108_GEN_AUD_AME_GREEN,USA_UT_20161108_GEN_TRE_REP_DAMSCHEN,USA_UT_20161108_GEN_TRE_DEM_HANSEN,USA_UT_20161108_GEN_TRE_CON_PROCTOR
0,_Beaver,_Beaver 1,_BV01,469,46,6,1,83,3,530,48,12,3,525,53,9,13,507,48,18,17,481,69,27,454,80,36
0,_Beaver,_Beaver 2,_BV02,334,38,4,4,74,4,390,48,8,4,395,51,7,4,363,48,25,14,345,72,21,329,90,19
0,_Beaver,_Beaver 3,_BV03,268,22,3,0,49,2,300,30,8,2,302,22,6,10,289,31,6,11,269,44,14,254,52,18
0,_Beaver,_Beaver 4,_BV04,101,10,3,0,23,0,116,7,3,4,114,15,4,0,100,16,9,3,92,23,12,94,19,14
0,_Beaver,_Greenville,_GR01,76,10,0,2,4,0,77,13,0,0,72,14,2,1,74,12,0,0,67,16,0,57,20,5
0,_Beaver,_Milford 1,_ML01,42,19,6,0,1,0,38,23,2,1,34,26,5,2,33,25,7,2,29,32,4,30,27,7
0,_Beaver,_Milford 2,_ML02,215,99,6,1,45,5,248,107,4,7,234,112,12,12,227,102,26,12,207,122,28,201,129,29
0,_Beaver,_Milford 3,_ML03,66,12,4,1,12,0,77,14,1,3,74,17,3,2,73,13,6,2,69,20,5,62,22,10
0,_Beaver,_Minersville,_MV01,267,8,4,1,32,6,299,5,8,2,283,14,15,2,282,13,10,5,274,23,11,258,29,21
0,_Box Elder,_Bear River,_BEAR,299,34,12,2,94,9,394,36,7,12,382,44,11,9,374,36,23,13,358,54,31,323,69,49
