IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_UT_20201103_GEN_PRE_REP_TRUMP,USA_UT_20201103_GEN_PRE_DEM_BIDEN,USA_UT_20201103_GEN_PRE_LIB_JORGENSEN,USA_UT_20201103_GEN_PRE_GRE_HAWKINS,USA_UT_20201103_GEN_PRE_CON_BLANKENSHIP,USA_UT_20201103_GEN_PRE_IND_PIERCE,USA_UT_20201103_GEN_PRE_IND_WEST,USA_UT_20201103_GEN_PRE_IND_MCHUGH,USA_UT_20201103_GEN_PRE_IND_RIVA,USA_UT_20201103_GEN_PRE_OTH_WRITEIN,USA_UT_20201103_GEN_GOV_REP_COX,USA_UT_20201103_GEN_GOV_DEM_PETERSON,USA_UT_20201103_GEN_GOV_LIB_COTTAM,USA_UT_20201103_GEN_GOV_AME_DUERGEN,USA_UT_20201103_GEN_GOV_OTH_WRITEIN,USA_UT_20201103_GEN_ATG_REP_REYES,USA_UT_20201103_GEN_ATG_DEM_SKORDAS,USA_UT_20201103_GEN_ATG_LIB_BAUTISTA,USA_UT_20201103_GEN_AUD_REP_DOUGALL,USA_UT_20201103_GEN_AUD_DEM_OSTLER,USA_UT_20201103_GEN_AUD_UNI_FABBI,USA_UT_20201103_GEN_TRE_REP_DAMSCHEN,USA_UT_20201103_GEN_TRE_LIB_SPECIALE,USA_UT_20201103_GEN_TRE_CON_PROCTOR
0,_Beaver,_BEAVER 1,_BV01,682,59,2,0,0,0,1,0,1,0,621,40,15,11,12,629,56,18,603,51,15,609,20,41
0,_Beaver,_BEAVER 2,_BV02,463,57,5,2,1,0,3,0,1,0,431,46,19,13,8,426,63,21,414,42,26,412,34,44
0,_Beaver,_BEAVER 3,_BV03,413,34,2,1,0,0,0,1,1,0,365,32,18,5,7,379,31,18,361,25,5,369,14,17
0,_Beaver,_BEAVER 4,_BV04,156,20,1,0,0,0,0,0,0,0,142,18,7,2,5,148,21,5,145,18,1,138,5,21
0,_Beaver,_GREENVILLE 1,_GR01,90,9,1,0,0,0,0,2,0,0,82,9,2,1,1,81,12,3,81,5,3,88,5,1
0,_Beaver,_MILFORD 1,_ML01,60,23,1,1,0,1,0,0,0,0,53,20,2,3,3,53,19,10,56,13,6,56,10,9
0,_Beaver,_MILFORD 2,_ML02,331,119,4,2,2,0,0,0,1,0,322,87,20,9,7,326,108,12,332,66,27,317,48,65
0,_Beaver,_MILFORD 3,_ML03,99,22,1,0,0,0,0,0,0,0,92,20,5,1,0,90,21,7,90,20,4,88,12,15
0,_Beaver,_MINERSVILLE 1,_MV01,401,14,6,0,1,0,3,0,0,0,360,19,14,3,12,369,30,6,369,17,8,357,9,26
0,_Box Elder,_Bear River,_BEAR,485,59,10,0,2,2,1,2,2,9,464,50,17,19,20,462,64,36,469,50,27,459,35,50
0,_Box Elder,_Bear River East,_BRE,281,32,6,1,0,0,1,0,0,5,256,26,10,4,25,268,39,10,272,24,8,260,15,27
