IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_VA_20201103_GEN_PRE_DEM_BIDEN,USA_VA_20201103_GEN_PRE_REP_TRUMP,USA_VA_20201103_GEN_PRE_LIB_JORGENSEN,USA_VA_20201103_GEN_PRE_OTH_WRITEIN,USA_VA_20201103_GEN_USS_DEM_WARNER,USA_VA_20201103_GEN_USS_REP_GADE,USA_VA_20201103_GEN_USS_OTH_WRITEIN
0,_Accomack County,_Chincoteague,_000101,837,1618,29,2,915,1563,3
0,_Accomack County,_Atlantic,_000201,321,657,11,2,357,644,0
0,_Accomack County,_Greenbackville,_000202,516,1091,18,0,539,1054,0
0,_Accomack County,_New Church,_000301,1013,667,14,2,1003,638,2
0,_Accomack County,_Bloxom,_000401,307,462,8,0,306,447,0
0,_Accomack County,_Parksley,_000402,388,586,11,0,461,551,0
0,_Accomack County,_Saxis,_000403,124,229,0,0,155,206,2
0,_Accomack County,_Mappsville,_000501,483,225,6,2,455,227,0
0,_Accomack County,_Rue,_000502,363,125,5,0,350,130,0
0,_Accomack County,_Accomac,_000601,414,559,15,2,445,550,0
0,_Accomack County,_Tangier,_000602,80,315,6,2,138,301,0
0,_Accomack County,_Nandua,_000701,472,764,20,4,502,760,0
0,_Accomack County,_Bobtown,_000801,263,342,3,2,286,327,0
0,_Accomack County,_Melfa,_000802,505,440,11,4,519,413,0
0,_Accomack County,_Wachapreague,_000803,219,422,14,2,276,404,0
0,_Accomack County,_Painter,_000901,1273,670,17,0,1232,648,2
0,_Albemarle County,_Woodbrook,_000101,1778,682,45,24,1798,664,0
0,_Albemarle County,_Branchlands,_000103,746,205,14,5,719,204,0
0,_Albemarle County,_Agnor-Hurt,_000104,1798,502,54,2,1817,488,7
0,_Albemarle County,_Dunlora,_000105,1676,546,63,14,1691,556,0
0,_Albemarle County,_Northside,_000106,2221,1297,43,12,2322,1238,7
0,_Albemarle County,_Jack Jouett,_000201,1423,711,45,12,1377,741,3
0,_Albemarle County,_University,_000202,1740,201,20,31,1585,259,5
0,_Albemarle County,_Georgetown,_000203,2368,422,35,16,2304,420,3
0,_Albemarle County,_Ivy,_000301,2333,908,45,24,2331,918,0
0,_Albemarle County,_Red Hill,_000302,2003,1088,25,14,2030,1046,3
0,_Albemarle County,_East Ivy,_000304,609,207,12,16,594,218,0
0,_Albemarle County,_Country Green,_000305,1121,526,27,19,1182,510,5
0,_Albemarle County,_Porters,_000306,1637,722,20,7,1604,692,7
0,_Albemarle County,_Yellow Mountain,_000307,604,333,16,5,603,312,0
0,_Albemarle County,_Scottsville,_000401,892,975,27,2,1001,936,5
0,_Albemarle County,_Monticello,_000402,648,671,23,9,797,633,2
0,_Albemarle County,_Mountain View,_000405,1403,517,56,9,1441,523,2
0,_Albemarle County,_Stone Robinson,_000406,1091,1060,39,19,1238,1023,0
0,_Albemarle County,_Biscuit Run,_000499,1047,299,18,7,978,315,0
0,_Albemarle County,_Keswick,_000501,1193,634,21,7,1163,633,0
0,_Albemarle County,_Stony Point,_000502,1023,711,21,14,1020,727,0
0,_Albemarle County,_Hollymead,_000503,2075,709,33,14,2039,727,0
0,_Albemarle County,_Free Bridge,_000504,1121,397,29,2,1061,398,0
0,_Albemarle County,_Baker-Butler,_000506,1623,1052,69,9,1691,1061,2
0,_Albemarle County,_Pantops,_000599,736,385,29,22,710,417,0
0,_Albemarle County,_Crozet,_000601,1506,1154,43,7,1618,1123,2
0,_Albemarle County,_Free Union,_000602,1101,743,16,5,1084,738,0
0,_Albemarle County,_Earlysville,_000603,1812,1420,27,9,1757,1439,2
0,_Albemarle County,_Brownsville,_000604,1369,828,37,21,1427,823,0
0,_Albemarle County,_Mechums River,_000606,1769,899,62,16,1748,918,0
0,_Alexandria City,_Ladrey Senior Building,_000101,1003,400,19,17,1017,440,0
0,_Alexandria City,_City Hall,_000102,738,479,16,26,722,548,8
0,_Alexandria City,_Lyles Crouch School,_000103,2013,717,55,36,1949,857,0
0,_Alexandria City,_Durant Center,_000104,1680,403,40,17,1594,486,19
0,_Alexandria City,_Lee Center,_000105,1182,367,30,6,1148,427,0
0,_Alexandria City,_Cora Kelly,_000106,4224,645,52,20,4094,753,0
0,_Alexandria City,_Mt Vernon Recreation Center,_000107,2743,559,38,36,2670,680,4
0,_Alexandria City,_George Washington Middle Sch,_000108,2112,400,40,9,2007,511,0
0,_Alexandria City,_Fire Department Headquarters,_000109,1454,508,40,29,1371,637,4
0,_Alexandria City,_Charles Houston Center,_000110,2597,370,24,14,2461,460,4
0,_Alexandria City,_Potomac Yard,_000111,1329,291,30,12,1280,348,4
0,_Alexandria City,_Alex Renew,_000112,1242,341,5,20,1161,404,0
0,_Alexandria City,_Maury School,_000201,1767,497,22,32,1680,612,4
0,_Alexandria City,_George Mason School,_000202,1621,643,30,39,1548,778,0
0,_Alexandria City,_Charles Barrett Center,_000203,2079,479,38,29,2047,570,4
0,_Alexandria City,_Blessed Sacrament Church,_000204,1734,543,30,44,1667,669,0
0,_Alexandria City,_Douglas MacArthur School,_000205,1932,532,40,39,1837,658,4
0,_Alexandria City,_Chinquapin Park Recreation Ctr,_000206,1494,384,24,44,1443,472,4
0,_Alexandria City,_Temple Beth El Synagogue,_000207,2490,624,38,39,2434,727,8
0,_Alexandria City,_NOVA Arts Center,_000208,3015,686,60,35,3018,778,8
0,_Alexandria City,_James K Polk School,_000209,3169,601,35,17,3142,666,8
0,_Alexandria City,_The Hermitage,_000210,1215,310,32,6,1253,343,0
0,_Alexandria City,_Patrick Henry Rec Center,_000302,2345,365,32,17,2368,368,8
0,_Alexandria City,_Charles E Beatley Library,_000303,1899,312,35,9,1968,304,0
0,_Alexandria City,_Samuel Tucker School,_000304,2696,455,50,12,2710,495,4
0,_Alexandria City,_John Adams School,_000305,4424,516,32,20,4403,553,0
0,_Alexandria City,_William Ramsay School,_000306,4238,522,32,17,4252,525,0
0,_Alexandria City,_South Port,_000307,3009,524,27,17,3071,522,4
0,_Alexandria City,_Cameron Station Community Ctr,_000308,2225,725,27,32,2132,849,8
0,_Alexandria City,_Olympus Condo,_000309,2571,346,49,12,2624,362,0
0,_Alleghany County,_Arritt,_005101,154,720,0,3,231,636,0
0,_Alleghany County,_Dameron,_005103,61,282,3,2,104,238,2
0,_Alleghany County,_Humpback Bridge,_005201,102,380,4,3,139,343,0
0,_Alleghany County,_Dolly Ann,_005202,149,451,10,0,199,396,3
0,_Alleghany County,_Callaghan,_005301,63,462,4,0,108,414,2
0,_Alleghany County,_Griffith,_005302,215,583,4,0,272,518,1
0,_Alleghany County,_Low Moor,_005401,117,401,6,0,151,359,0
0,_Alleghany County,_Jackson Heights,_005402,142,453,5,0,198,386,0
0,_Alleghany County,_Iron Gate,_005501,140,218,4,2,162,192,0
0,_Alleghany County,_Peters Switch,_005502,280,775,8,1,346,679,0
0,_Alleghany County,_District 1,_005601,445,686,16,0,497,612,3
0,_Alleghany County,_District 2,_005701,375,448,25,1,415,386,3
0,_Amelia County,_Number One,_000101,408,1099,17,0,468,1062,2
0,_Amelia County,_Number Two,_000201,484,1076,24,0,519,1059,0
0,_Amelia County,_Number Three,_000301,440,1090,15,4,461,1062,0
0,_Amelia County,_Number Four,_000401,323,883,9,0,360,863,1
0,_Amelia County,_Number Five,_000501,756,1242,15,8,751,1220,5
0,_Amherst County,_Wright Shop,_000101,809,610,15,0,793,580,2
0,_Amherst County,_New Glasgow,_000102,400,977,12,0,480,920,0
0,_Amherst County,_Coolwell,_000103,237,637,26,7,295,620,2
0,_Amherst County,_Court House,_000201,692,1088,31,5,741,1043,1
0,_Amherst County,_Temperance,_000202,280,868,5,2,337,822,0
0,_Amherst County,_Monroe,_000301,289,718,12,3,320,701,0
0,_Amherst County,_Elon,_000302,678,1809,24,3,767,1756,0
0,_Amherst County,_Pleasant View,_000303,221,514,8,2,278,476,0
0,_Amherst County,_Amelon,_000401,819,1674,44,9,932,1606,0
0,_Amherst County,_Lonco,_000402,221,495,12,0,232,487,0
0,_Amherst County,_Madison,_000501,1026,1651,62,10,1098,1613,1
0,_Appomattox County,_Vera,_000101,136,611,5,8,151,586,2
0,_Appomattox County,_Pamplin,_000102,348,926,12,5,374,865,3
0,_Appomattox County,_Chap,_000201,264,309,3,2,272,288,0
0,_Appomattox County,_Spout Spring,_000202,256,1121,16,1,314,1057,0
0,_Appomattox County,_US 460,_000301,168,687,12,3,212,651,0
0,_Appomattox County,_Stonewall,_000302,213,911,5,3,243,868,0
0,_Appomattox County,_Courthouse,_000401,401,850,46,1,469,798,3
0,_Appomattox County,_Oakville,_000501,410,889,8,6,468,821,2
0,_Appomattox County,_Agee,_000502,222,398,12,0,238,372,0
0,_Arlington County,_Arlington,_000001,2996,486,25,0,3110,435,0
0,_Arlington County,_Ashton Heights,_000002,2134,408,47,21,1962,547,0
0,_Arlington County,_Aurora Hills,_000003,693,185,41,15,672,259,0
0,_Arlington County,_Ballston,_000004,2593,527,41,33,2469,672,0
0,_Arlington County,_Barcroft,_000005,2400,443,28,39,2429,501,3
0,_Arlington County,_Crystal City,_000006,1353,355,19,18,1384,391,6
0,_Arlington County,_Cherrydale,_000007,2166,548,30,15,1970,677,3
0,_Arlington County,_Hume,_000008,2642,514,39,29,2516,633,3
0,_Arlington County,_Columbia,_000009,2030,411,33,21,2002,467,3
0,_Arlington County,_Wilson,_000010,2271,543,28,33,2263,613,0
0,_Arlington County,_East Falls Church,_000011,1257,427,17,21,1219,507,0
0,_Arlington County,_Fairlington,_000012,2214,522,65,24,2137,651,7
0,_Arlington County,_Glen Carlyn,_000013,1989,481,22,12,2128,464,7
0,_Arlington County,_Clarendon,_000014,1530,333,36,21,1432,427,3
0,_Arlington County,_Lyon Park,_000015,1699,299,28,6,1559,371,3
0,_Arlington County,_Lyon Village,_000016,2006,395,28,48,1796,567,3
0,_Arlington County,_Overlee Knolls,_000017,1715,514,22,54,1654,630,0
0,_Arlington County,_Park Lane,_000018,1852,511,50,33,1733,659,3
0,_Arlington County,_Rosslyn,_000019,1876,462,44,24,1836,553,3
0,_Arlington County,_Thrifton,_000020,1192,384,39,24,1092,498,0
0,_Arlington County,_Virginia Highlands,_000021,628,167,11,15,578,216,0
