IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_VT_20161108_GEN_PRE_DEM_CLINTON,USA_VT_20161108_GEN_PRE_REP_TRUMP,USA_VT_20161108_GEN_PRE_LIB_JOHNSON,USA_VT_20161108_GEN_PRE_GRE_STEIN,USA_VT_20161108_GEN_PRE_IND_FUENTE,USA_VT_20161108_GEN_PRE_UNI_RIVA,USA_VT_20161108_GEN_PRE_OTH_SANDERS,USA_VT_20161108_GEN_PRE_OTH_WRITEIN,USA_VT_20161108_GEN_USS_DEM_LEAHY,USA_VT_20161108_GEN_USS_REP_MILNE,USA_VT_20161108_GEN_USS_MAR_ERICSON,USA_VT_20161108_GEN_USS_IND_TRUDELL,USA_VT_20161108_GEN_USS_UNI_DIAMONDSTONE,USA_VT_20161108_GEN_USS_OTH_WRITEIN,USA_VT_20161108_GEN_HAL_OTH_WELCH,USA_VT_20161108_GEN_HAL_UNI_CLAWSON,USA_VT_20161108_GEN_HAL_OTH_WRITEIN,USA_VT_20161108_GEN_GOV_DEM_MINTER,USA_VT_20161108_GEN_GOV_REP_SCOTT,USA_VT_20161108_GEN_GOV_UNI_LEE,USA_VT_20161108_GEN_GOV_OTH_WRITEIN,USA_VT_20161108_GEN_LTG_DEM_ZUCKERMAN,USA_VT_20161108_GEN_LTG_REP_BROCK,USA_VT_20161108_GEN_LTG_UNI_WARDINSKI,USA_VT_20161108_GEN_LTG_OTH_WRITEIN,USA_VT_20161108_GEN_TRE_OTH_PEARCE,USA_VT_20161108_GEN_TRE_PRO_SCHRAMM,USA_VT_20161108_GEN_TRE_UNI_NGOIMA,USA_VT_20161108_GEN_TRE_OTH_WRITEIN,USA_VT_20161108_GEN_SOS_OTH_CONDOS,USA_VT_20161108_GEN_SOS_UNI_HERBERT,USA_VT_20161108_GEN_SOS_OTH_WRITEIN,USA_VT_20161108_GEN_AUD_DEM_HOFFER,USA_VT_20161108_GEN_AUD_REP_FELICIANO,USA_VT_20161108_GEN_AUD_UNI_BROWN,USA_VT_20161108_GEN_AUD_OTH_WRITEIN,USA_VT_20161108_GEN_ATG_DEM_DONOVAN,USA_VT_20161108_GEN_ATG_REP_BUCKMAN,USA_VT_20161108_GEN_ATG_UNI_JACKOWSKI,USA_VT_20161108_GEN_ATG_OTH_WRITEIN
0,_001,_Addison,_Addison,324,337,47,8,1,1,45,12,355,391,11,13,6,0,631,88,8,196,578,11,0,261,492,16,0,605,71,31,0,640,65,0,286,427,26,0,434,307,16,0
0,_001,_Bridport,_Bridport,292,278,24,8,3,1,0,49,308,321,15,4,5,8,539,69,4,204,442,10,0,236,397,8,1,502,50,38,1,533,64,1,261,327,19,0,363,250,6,1
0,_001,_Bristol,_Bristol,1075,558,60,41,9,1,168,14,1140,666,56,38,17,1,1608,207,6,858,1022,49,1,984,870,45,0,1435,270,79,7,1584,204,5,1012,705,97,0,1267,525,76,0
0,_001,_Cornwall,_Cornwall,517,147,22,14,3,1,21,12,537,187,14,2,4,0,669,33,2,383,347,12,1,441,277,6,1,594,71,11,0,645,43,0,443,229,17,0,530,161,14,0
0,_001,_Ferrisburgh,_Ferrisburgh,892,501,61,21,3,2,94,33,973,594,30,7,10,2,1368,147,14,613,962,42,1,748,828,13,1,1270,145,57,4,1369,108,4,815,658,43,2,1077,475,26,1
0,_001,_Goshen,_Goshen,78,31,6,3,0,0,5,0,75,41,3,4,2,0,106,11,0,66,53,6,0,72,48,1,0,87,21,7,0,96,13,0,70,39,6,0,75,36,5,0
0,_001,_Granville,_Granville,82,29,3,6,1,0,0,27,98,36,9,3,1,0,132,9,1,82,61,2,1,87,49,4,1,107,22,6,0,120,15,0,93,38,7,0,103,24,7,0
0,_001,_Hancock,_Hancock,75,54,6,4,1,0,18,1,84,64,4,4,0,1,123,25,1,58,97,4,0,75,70,8,0,107,19,19,0,120,25,0,84,54,9,0,102,44,8,0
0,_001,_Leicester,_Leicester,217,207,15,5,3,0,37,8,258,211,10,7,6,0,407,47,1,152,332,9,2,198,270,14,0,375,48,18,0,397,48,0,210,224,18,0,273,178,19,0
0,_001,_Lincoln,_Lincoln,494,188,22,27,3,0,46,11,531,210,22,20,6,1,691,57,3,430,330,25,1,492,273,9,1,583,117,26,0,664,56,0,481,223,27,0,558,168,26,0
0,_001,_Middlebury,_Middlebury,2682,595,77,71,11,2,158,71,2663,800,83,44,38,1,3168,249,17,2212,1351,85,3,2312,1174,52,4,2754,457,87,5,3022,277,5,2317,885,130,1,2690,659,117,1
0,_001,_Monkton,_Monkton,671,360,57,16,2,0,0,96,753,405,21,9,11,1,1010,116,5,480,704,29,1,610,562,14,2,911,134,43,4,1011,89,5,615,461,49,1,794,337,38,0
0,_001,_New Haven,_New Haven,594,337,45,21,5,2,59,15,619,410,16,15,11,0,905,110,0,398,664,26,0,504,543,17,2,857,111,30,2,896,102,0,520,430,46,0,704,312,19,0
0,_001,_Orwell,_Orwell,270,284,29,16,5,0,31,13,307,318,14,7,3,0,530,68,3,172,465,13,3,208,413,25,0,497,65,28,0,536,58,1,245,335,36,0,346,267,17,0
0,_001,_Panton,_Panton,171,126,6,6,0,0,24,5,178,150,5,6,3,0,291,33,0,114,227,4,0,153,184,2,0,286,30,7,0,306,20,0,166,158,6,0,216,118,6,0
0,_001,_Ripton,_Ripton,228,58,5,13,1,0,29,1,251,62,6,3,4,1,308,14,0,201,124,4,1,227,86,4,1,240,51,9,0,277,23,0,216,74,5,1,251,49,7,1
0,_001,_Salisbury,_Salisbury,296,189,8,9,3,0,45,5,321,206,13,9,7,0,455,64,2,198,341,17,0,261,275,10,0,419,67,22,1,463,50,0,259,224,30,0,348,168,18,0
0,_001,_Shoreham,_Shoreham,356,211,19,13,1,0,39,11,390,236,10,10,3,0,538,63,2,262,373,14,1,311,311,10,1,496,53,19,0,506,60,0,316,243,26,1,401,184,15,2
0,_001,_Starksboro,_Starksboro,534,256,36,24,3,0,67,11,552,310,33,15,11,1,771,107,3,445,459,23,1,522,374,19,1,705,111,37,2,761,93,3,517,324,30,0,622,247,28,0
0,_001,_Vergennes,_Vergennes,712,326,51,23,5,1,90,11,786,391,32,11,9,1,1057,104,4,543,660,33,2,649,543,19,3,974,116,55,1,1041,106,1,682,422,45,1,870,300,35,0
0,_001,_Waltham,_Waltham,149,83,14,2,0,0,0,27,170,98,4,3,4,0,247,20,0,108,165,10,0,129,143,5,0,235,22,9,0,243,20,0,141,115,7,0,165,99,5,0
0,_001,_Weybridge,_Weybridge,415,74,18,8,1,2,0,5,419,120,5,7,5,1,514,27,4,338,217,6,1,334,197,9,1,434,69,13,1,486,33,0,354,168,13,0,423,103,10,1
0,_001,_Whiting,_Whiting,95,68,8,2,2,0,20,2,114,67,3,4,4,0,160,15,2,63,127,9,0,94,91,4,0,148,21,1,0,157,18,0,101,71,10,0,130,49,7,0
0,_003,_Arlington,_Arlington,662,435,28,22,4,3,94,20,732,432,44,29,13,0,1028,142,5,543,666,47,0,601,580,40,1,960,127,77,0,1008,148,0,600,508,74,0,647,465,100,0
0,_003,_Bennington 1,_Bennington 1,1764,970,72,63,13,3,132,29,1936,828,170,63,35,7,2496,306,15,1627,1280,130,4,1709,1085,114,8,2157,421,123,8,2321,373,4,1238,1002,199,3,1585,844,449,2
0,_003,_Bennington 2,_Bennington 2,1597,979,83,84,9,5,198,24,1815,826,168,94,42,4,2450,319,8,1490,1366,113,2,1569,1128,116,3,2107,413,132,7,2237,393,3,1464,994,217,2,1459,866,477,0
0,_003,_Dorset,_Dorset,740,334,36,18,4,0,41,16,715,409,31,22,6,2,1018,86,2,506,662,23,0,536,583,28,0,887,105,48,1,956,101,1,559,458,57,0,590,447,70,0
0,_003,_Glastenbury,_Glastenbury,3,2,0,0,0,0,0,0,3,2,0,0,0,0,5,0,0,2,3,0,0,3,2,0,0,4,1,0,0,4,1,0,3,2,0,0,3,2,1,0
0,_003,_Landgrove,_Landgrove,71,18,5,1,0,0,5,3,62,39,1,1,1,0,87,7,0,49,55,1,0,45,50,1,0,80,10,2,0,90,6,0,39,48,6,0,49,46,4,0
0,_003,_Manchester,_Manchester,1452,706,74,33,10,4,90,24,1404,827,86,36,19,3,1976,192,18,1084,1231,62,3,1128,1096,49,5,1755,223,79,13,1839,224,7,1122,901,91,2,1214,866,133,1
0,_003,_Peru,_Peru,166,54,4,2,0,0,3,2,145,69,8,5,2,0,204,19,1,129,103,3,1,120,101,5,0,173,24,9,1,180,24,1,123,79,10,0,137,71,10,0
0,_003,_Pownal,_Pownal,761,681,47,29,8,1,87,14,915,510,109,41,24,0,1277,219,5,742,785,79,0,805,637,90,0,1143,188,105,1,1177,260,2,713,593,146,1,715,541,249,0
0,_003,_Readsboro,_Readsboro,166,173,7,7,1,1,22,2,191,127,31,11,12,15,288,48,0,159,193,24,0,167,173,20,0,230,38,54,0,276,53,0,161,152,26,0,164,141,45,1
0,_003,_Rupert,_Rupert,213,138,14,6,1,0,14,5,240,130,17,5,0,0,323,38,1,175,204,13,1,189,180,11,0,306,32,16,0,320,38,0,185,156,23,0,192,156,28,0
0,_003,_Sandgate,_Sandgate,99,95,6,7,0,1,7,2,108,85,15,6,3,0,173,27,0,96,115,6,0,98,111,4,0,146,28,13,0,161,27,0,96,95,11,0,101,94,19,0
0,_003,_Searsburg,_Searsburg,19,36,0,0,0,1,2,0,20,29,3,0,3,0,42,10,0,14,38,6,0,20,31,4,0,39,8,4,0,38,14,0,19,29,4,0,15,27,12,0
0,_003,_Shaftsbury,_Shaftsbury,949,659,53,26,7,1,93,21,1023,640,81,41,18,2,1510,163,2,815,941,51,0,906,792,49,0,1359,181,69,3,1409,204,2,832,706,114,1,850,656,211,0
