IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_VT_20201103_GEN_PRE_DEM_BIDEN,USA_VT_20201103_GEN_PRE_REP_TRUMP,USA_VT_20201103_GEN_PRE_LIB_JORGENSEN,USA_VT_20201103_GEN_PRE_GRE_HARKINS,USA_VT_20201103_GEN_PRE_IND_WEST,USA_VT_20201103_GEN_PRE_OTH_OTHER_ON_BALLOT,USA_VT_20201103_GEN_PRE_OTH_SANDERS,USA_VT_20201103_GEN_PRE_OTH_WRITEIN,USA_VT_20201103_GEN_HAL_DEM_WELCH,USA_VT_20201103_GEN_HAL_REP_BERRY,USA_VT_20201103_GEN_HAL_COM_HELALI,USA_VT_20201103_GEN_HAL_IND_BECKER,USA_VT_20201103_GEN_HAL_IND_HORNE,USA_VT_20201103_GEN_HAL_IND_ORR,USA_VT_20201103_GEN_HAL_IND_TRUDELL,USA_VT_20201103_GEN_HAL_OTH_WRITEIN,USA_VT_20201103_GEN_GOV_DEM_ZUCKERMAN,USA_VT_20201103_GEN_GOV_REP_SCOTT,USA_VT_20201103_GEN_GOV_IND_HOYT,USA_VT_20201103_GEN_GOV_TRU_PEYTON,USA_VT_20201103_GEN_GOV_IND_WHITNEY,USA_VT_20201103_GEN_GOV_IND_BILLADO_III,USA_VT_20201103_GEN_GOV_IND_DEVOST,USA_VT_20201103_GEN_GOV_UNA_DICKERSON,USA_VT_20201103_GEN_GOV_OTH_WRITEIN,USA_VT_20201103_GEN_LTG_DEM_GRAY,USA_VT_20201103_GEN_LTG_REP_MILNE,USA_VT_20201103_GEN_LTG_PRO_ERICSON,USA_VT_20201103_GEN_LTG_IND_BILLADO_III,USA_VT_20201103_GEN_LTG_BAN_CORBO,USA_VT_20201103_GEN_LTG_OTH_WRITEIN,USA_VT_20201103_GEN_ATG_DEM_DONOVAN,USA_VT_20201103_GEN_ATG_REP_PAIGE,USA_VT_20201103_GEN_ATG_PRO_ERICSON,USA_VT_20201103_GEN_ATG_OTH_WRITEIN,USA_VT_20201103_GEN_SOS_DEM_CONDOS,USA_VT_20201103_GEN_SOS_REP_PAIGE,USA_VT_20201103_GEN_SOS_PRO_ERICSON,USA_VT_20201103_GEN_SOS_IND_SMITH,USA_VT_20201103_GEN_SOS_OTH_WRITEIN,USA_VT_20201103_GEN_TRE_DEM_PEARCE,USA_VT_20201103_GEN_TRE_REP_BRANAGAN,USA_VT_20201103_GEN_TRE_PRO_ERICSON,USA_VT_20201103_GEN_TRE_IND_WRIGHT,USA_VT_20201103_GEN_TRE_OTH_WRITEIN,USA_VT_20201103_GEN_AUD_OTH_HOFFER,USA_VT_20201103_GEN_AUD_PRO_ERICSON,USA_VT_20201103_GEN_AUD_OTH_WRITEIN
0,_001,_Addison,_Addison,445,379,15,2,6,19,1,3,462,336,7,21,7,2,9,3,145,680,7,8,7,2,1,7,5,321,514,5,6,2,1,500,317,25,0,424,357,16,43,0,372,404,20,33,0,666,102,9
0,_001,_Bridport,_Bridport,392,321,8,2,1,7,3,4,417,250,3,34,3,2,2,1,135,577,5,5,3,0,4,0,10,288,416,7,6,0,3,410,268,21,0,359,295,12,39,0,311,318,31,32,0,550,80,4
0,_001,_Bristol,_Bristol,1482,691,22,8,3,21,6,12,1487,587,14,38,27,7,21,0,625,1542,10,25,11,9,2,5,7,1146,960,44,30,10,7,1490,556,110,6,1307,604,79,163,0,1231,677,102,124,1,1662,337,9
0,_001,_Cornwall,_Cornwall,663,145,12,4,3,13,2,8,647,155,8,15,5,4,3,0,268,566,2,6,2,1,0,0,2,542,261,20,5,2,2,646,145,24,0,619,158,16,29,0,585,176,20,22,0,671,78,2
0,_001,_Ferrisburgh,_Ferrisburgh,1202,561,22,9,4,15,6,11,1215,524,11,23,14,5,13,0,449,1326,11,8,4,4,1,8,4,909,841,32,16,4,5,1246,472,52,0,1144,522,35,73,4,1034,592,59,68,0,1452,189,4
0,_001,_Goshen,_Goshen,90,34,0,0,0,1,0,1,92,31,1,2,0,0,0,0,48,76,2,1,1,0,0,1,0,74,48,3,2,2,0,86,31,10,0,80,34,10,3,0,77,40,8,2,0,89,25,1
0,_001,_Granville,_Granville,136,30,0,1,0,2,0,0,136,17,2,8,1,1,0,0,57,106,0,0,0,0,0,0,1,106,51,3,2,1,0,127,26,9,0,116,26,6,13,0,113,29,14,4,0,126,31,0
0,_001,_Hancock,_Hancock,102,57,3,1,1,4,2,1,114,43,2,3,2,1,2,0,49,119,1,0,1,0,0,0,1,84,78,2,1,1,0,110,48,5,0,95,51,6,9,0,90,56,7,9,0,119,25,0
0,_001,_Leicester,_Leicester,296,230,8,0,1,5,0,2,309,193,2,19,3,0,5,1,104,402,8,7,3,4,1,4,7,228,297,2,7,0,0,323,183,22,0,272,206,16,30,0,259,219,16,26,0,390,78,4
0,_001,_Lincoln,_Lincoln,723,211,8,2,3,8,3,1,714,187,3,9,12,2,8,0,350,573,1,11,3,4,1,1,1,594,308,15,7,8,1,702,167,38,0,645,202,30,47,0,634,213,31,37,0,740,117,3
0,_001,_Middlebury,_Middlebury,3479,732,39,16,11,39,3,12,3345,670,63,62,25,8,19,8,1625,2545,18,37,8,9,9,12,9,2776,1267,86,31,29,6,3249,657,164,11,3114,686,127,181,4,2934,834,165,134,5,3316,490,16
