IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_WY_20161108_GEN_PRE_REP_TRUMP,USA_WY_20161108_GEN_PRE_DEM_CLINTON,USA_WY_20161108_GEN_PRE_LIB_JOHNSON,USA_WY_20161108_GEN_PRE_CON_CASTLE,USA_WY_20161108_GEN_PRE_IND_FUENTE,USA_WY_20161108_GEN_PRE_GRE_STEIN,USA_WY_20161108_GEN_PRE_OTH_WRITEIN,USA_WY_20161108_GEN_HAL_REP_CHENEY,USA_WY_20161108_GEN_HAL_DEM_GREENE,USA_WY_20161108_GEN_HAL_LIB_STRUEMPF,USA_WY_20161108_GEN_HAL_CON_CUMMINGS,USA_WY_20161108_GEN_HAL_OTH_WRITEIN
0,_001,_Shields Street. Aux. Gym 13-1,_001301,743,724,181,18,8,44,102,736,861,133,52,7
0,_001,_Shields Street. Aux. Gym 13-2,_001302,105,243,49,3,2,18,10,108,277,33,12,2
0,_001,_Spring Creek Elementary School 13-3,_001303,561,899,156,12,2,38,59,553,988,114,42,12
0,_001,_National Guard Armory 14-1,_001401,1451,1401,297,26,15,61,134,1516,1555,164,62,16
0,_001,_Laramie Peak Fire Hall 14-11,_001411,389,140,26,2,3,10,18,359,181,26,13,5
0,_001,_Linford Elementary School 45-1,_004501,1002,522,149,13,7,27,64,921,660,111,53,5
0,_001,_Lincoln Community Center 45-2,_004502,560,1035,176,20,5,60,75,544,1179,130,41,4
0,_001,_New Laramie High School 46-1,_004601,462,530,104,8,6,22,37,467,596,60,26,4
0,_001,_New Laramie High School 46-2,_004602,605,698,111,9,9,29,82,626,790,71,30,6
0,_001,_Albany County Fairgrounds 46-11,_004611,1137,506,107,14,4,26,45,1093,578,104,52,5
0,_001,_Harmony School 46-12,_004612,286,87,25,7,0,3,5,273,104,15,15,2
0,_001,_Centennial School 46-13,_004613,178,93,9,0,0,6,3,163,105,15,4,0
0,_001,_Rock River Town Hall 47-11,_004711,123,12,1,1,2,0,3,113,18,5,4,1
0,_003,_Basin,_000101,624,102,45,14,5,7,19,548,178,26,46,2
0,_003,_Burlington,_000201,209,13,8,4,2,2,26,217,28,4,12,0
0,_003,_Otto,_000301,69,2,1,3,0,0,13,68,4,5,10,1
0,_003,_Emblem,_000501,51,3,3,1,0,1,1,49,6,4,2,0
0,_003,_Hyattville,_000601,82,13,2,1,0,0,2,82,13,2,4,0
0,_003,_Manderson,_000801,132,15,3,0,0,1,5,124,18,5,9,0
0,_003,_Greybull,_001101,779,185,62,10,4,10,23,706,273,35,60,4
0,_003,_Shell,_001601,208,38,14,2,0,2,6,194,58,6,9,2
0,_003,_Lovell,_002001,1114,155,65,56,4,6,84,1071,216,39,134,2
0,_003,_Cowley,_002201,379,25,16,16,0,2,32,361,51,16,41,2
0,_003,_Byron,_002301,259,29,15,5,5,0,16,246,48,10,23,0
0,_003,_Deaver,_002501,82,14,4,0,1,2,8,73,25,2,9,0
0,_003,_Frannie,_002601,79,10,4,0,0,2,1,72,16,3,5,0
0,_005,_01-01,_001-01,314,44,20,1,1,0,10,268,64,23,20,4
0,_005,_01-03,_001-03,292,71,27,1,0,5,4,254,96,20,18,2
0,_005,_01-05,_001-05,612,70,33,1,0,4,3,518,115,28,33,0
0,_005,_01-07,_001-07,636,53,29,9,2,3,16,553,99,20,52,1
0,_005,_01-09,_001-09,638,63,27,1,1,6,8,552,102,36,35,4
0,_005,_01-11,_001-11,251,29,6,1,1,1,3,213,52,12,12,0
0,_005,_01-12,_001-12,646,70,42,6,1,1,7,579,113,24,46,2
0,_005,_01-14,_001-14,210,37,13,2,0,2,5,176,56,14,17,2
0,_005,_01-15,_001-15,812,121,43,6,4,3,22,744,168,32,39,2
0,_005,_01-16,_001-16,758,68,28,2,1,2,15,676,106,39,30,7
0,_005,_01-17,_001-17,566,34,22,3,4,0,12,491,61,27,33,9
0,_005,_01-18,_001-18,474,58,27,3,0,5,9,418,91,21,27,1
0,_005,_01-19,_001-19,599,73,26,1,1,3,15,529,112,28,26,1
0,_005,_01-20,_001-20,223,12,6,1,0,0,9,192,34,9,7,0
0,_005,_01-21,_001-21,310,22,10,2,2,1,3,254,39,14,27,3
0,_005,_01-22,_001-22,273,17,17,4,0,0,5,233,38,14,21,4
0,_005,_01-23,_001-23,752,48,43,3,0,2,17,659,105,33,39,1
0,_005,_01-24,_001-24,378,34,13,2,0,1,8,335,48,14,27,0
0,_005,_01-25,_001-25,545,69,22,1,2,4,7,512,91,15,16,3
0,_005,_01-26,_001-26,278,24,12,1,2,1,6,245,43,14,8,2
0,_005,_02-01,_002-01,346,9,13,0,1,0,3,271,31,17,21,1
0,_005,_03-01,_003-01,788,43,20,5,0,4,5,671,78,29,52,3
0,_005,_04-01,_004-01,756,43,14,8,1,3,6,627,84,41,46,4
0,_005,_05-01,_005-01,677,33,28,5,0,2,15,595,68,26,49,3
0,_005,_06-01,_006-01,219,13,8,2,0,1,4,179,24,10,26,0
0,_005,_07-01,_007-01,162,13,0,0,0,0,1,131,21,4,8,1
0,_005,_08-01,_008-01,110,4,2,1,0,0,3,102,8,3,5,0
0,_005,_09-01,_009-01,99,3,6,1,0,0,0,87,10,5,2,0
0,_005,_13-01,_013-01,193,5,10,0,0,0,1,174,14,4,3,3
0,_005,_14-01,_014-01,608,29,12,5,0,6,7,506,78,29,44,1
0,_005,_14-02,_014-02,338,5,4,1,0,0,2,282,24,14,17,2
0,_005,_18-01,_018-01,435,20,10,2,1,2,10,362,53,22,30,0
0,_005,_19-01,_019-01,314,13,13,3,0,0,2,265,30,13,22,3
0,_005,_22-01,_022-01,222,19,11,0,0,3,4,193,31,10,14,0
0,_005,_23-01,_023-01,598,30,15,1,0,1,10,505,65,24,36,3
0,_005,_24-01,_024-01,313,20,18,1,3,0,7,277,42,14,20,2
0,_005,_26-01,_026-01,33,5,3,0,0,0,0,30,4,3,3,0
0,_007,_RAWLINS 1-1,_0001-1,245,188,24,9,2,3,8,215,228,10,20,3
0,_007,_RAWLINS 1-2,_0001-2,185,48,14,0,0,2,5,149,84,8,10,0
0,_007,_RAWLINS 2-1,_0002-1,411,129,38,2,5,4,19,350,198,29,21,1
0,_007,_RAWLINS 2-2,_0002-2,436,135,66,3,2,7,10,379,222,29,26,0
0,_007,_RAWLINS 3-1,_0003-1,288,135,46,3,0,6,18,247,200,28,9,1
