IS_AUDITED,COUNTY_NAME,PRECINCT_NAME,PRECINCT_CODE,USA_WY_20201103_GEN_PRE_REP_TRUMP,USA_WY_20201103_GEN_PRE_DEM_BIDEN,USA_WY_20201103_GEN_PRE_LIB_JORGENSEN,USA_WY_20201103_GEN_PRE_IND_PIERCE,USA_WY_20201103_GEN_PRE_OTH_WRITEIN,USA_WY_20201103_GEN_USS_REP_LUMMIS,USA_WY_20201103_GEN_USS_DEM_DAVID,USA_WY_20201103_GEN_USS_OTH_WRITEIN,USA_WY_20201103_GEN_HAL_REP_CHENEY,USA_WY_20201103_GEN_HAL_DEM_BULL,USA_WY_20201103_GEN_HAL_LIB_BRUBAKER,USA_WY_20201103_GEN_HAL_CON_HAGGIT,USA_WY_20201103_GEN_HAL_OTH_WRITEIN
0,_001,_Shields Street. Aux. Gym 13-1,_001301,832,982,96,21,17,913,982,10,827,931,92,36,4
0,_001,_Shields Street. Aux. Gym 13-2,_001302,119,310,19,9,4,132,320,2,119,294,29,12,1
0,_001,_Spring Creek Elementary School 13-3,_001303,592,1054,60,18,22,646,1062,11,587,1001,64,50,3
0,_001,_National Guard Armory 14-1,_001401,1502,1988,128,32,43,1695,1909,19,1631,1751,152,67,9
0,_001,_Laramie Peak Fire Hall 14-11,_001411,473,201,5,5,2,486,187,5,463,189,15,5,1
0,_001,_Linford Elementary School 45-1,_004501,1154,744,62,22,12,1196,753,8,1089,700,90,63,0
0,_001,_Lincoln Community Center 45-2,_004502,640,1286,71,15,22,703,1294,5,619,1243,85,38,6
0,_001,_New Laramie High School 46-1,_004601,482,664,43,11,12,535,659,4,486,618,58,24,1
0,_001,_New Laramie High School 46-2,_004602,724,978,51,21,16,791,980,2,755,901,69,29,2
0,_001,_Albany County Fairgrounds 46-11,_004611,1410,634,43,21,16,1452,642,3,1398,579,67,51,1
0,_001,_Harmony School 46-12,_004612,343,111,6,2,3,352,110,0,348,98,10,6,0
0,_001,_Centennial School 46-13,_004613,178,120,11,1,3,190,120,1,185,116,6,5,0
0,_001,_Rock River Town Hall 47-11,_004711,130,20,0,0,1,129,20,0,122,19,0,6,0
0,_003,_Basin,_000101,709,132,11,4,7,711,133,2,649,114,35,37,2
0,_003,_Burlington,_000201,292,17,2,2,6,294,16,0,287,14,6,7,0
0,_003,_Otto,_000301,100,7,0,0,2,100,6,1,95,8,1,1,0
0,_003,_Emblem,_000501,58,3,0,0,0,56,3,0,55,2,0,1,0
0,_003,_Hyattville,_000601,91,13,0,2,1,94,11,0,94,11,0,2,0
0,_003,_Manderson,_000801,170,14,1,0,0,174,11,0,163,12,3,6,0
0,_003,_Greybull,_001101,861,255,20,7,5,871,249,1,824,244,32,25,0
0,_003,_Shell,_001601,219,56,4,3,1,228,50,1,214,48,3,12,0
0,_003,_Lovell,_002001,1346,188,15,11,13,1376,172,7,1294,164,35,51,4
0,_003,_Cowley,_002201,493,36,6,11,1,508,33,0,477,31,11,18,0
0,_003,_Byron,_002301,276,33,9,5,1,283,35,0,253,39,12,13,0
0,_003,_Deaver,_002501,88,20,2,1,1,86,24,0,85,21,2,3,0
0,_003,_Frannie,_002601,103,14,4,0,0,106,13,0,97,16,3,4,0
0,_005,_01-01,_001-01,357,59,15,4,2,362,63,4,323,51,24,26,1
0,_005,_01-03,_001-03,312,93,10,8,1,327,80,2,298,73,14,20,2
0,_005,_01-05,_001-05,684,93,25,1,1,679,91,2,614,88,29,40,2
0,_005,_01-07,_001-07,638,89,17,3,3,642,83,4,569,82,34,33,5
0,_005,_01-09,_001-09,621,86,14,2,5,617,85,3,579,75,28,22,2
0,_005,_01-11,_001-11,258,38,6,1,1,250,46,3,228,39,14,15,3
0,_005,_01-12,_001-12,627,108,20,4,2,621,107,6,571,94,35,31,3
0,_005,_01-14,_001-14,258,51,7,2,2,262,48,2,238,44,14,15,1
0,_005,_01-15,_001-15,842,146,29,7,6,872,128,4,812,110,41,28,3
0,_005,_01-16,_001-16,846,129,31,9,9,862,125,6,810,97,44,27,5
0,_005,_01-17,_001-17,637,51,14,2,2,623,59,6,565,54,27,29,2
0,_005,_01-18,_001-18,537,99,13,4,4,547,93,3,507,85,23,23,2
0,_005,_01-19,_001-19,647,82,17,5,7,656,72,5,632,65,23,15,1
0,_005,_01-20,_001-20,246,35,11,2,2,247,39,3,230,34,16,10,3
0,_005,_01-21,_001-21,383,24,8,2,1,372,31,3,335,34,15,17,3
0,_005,_01-22,_001-22,289,27,6,1,2,286,26,1,264,22,13,11,1
0,_005,_01-23,_001-23,848,109,23,6,6,848,101,11,790,94,41,28,5
0,_005,_01-24,_001-24,405,45,17,6,4,403,55,3,374,52,16,21,1
0,_005,_01-25,_001-25,593,90,13,5,2,609,79,2,581,60,19,21,1
0,_005,_01-26,_001-26,320,39,9,2,3,328,35,2,312,26,14,10,2
0,_005,_01-27,_001-27,622,47,17,5,3,613,62,2,579,47,32,18,1
0,_005,_02-01,_002-01,370,17,3,4,5,357,23,1,329,16,13,20,1
